CODI,NOM DEL CENTRE,ADREÇA,TIPUS SUBMINISTRAMENT,ANY,MES,CONSUM,COST
EDI012,EDIFICI AJUNTAMENT,PL FOLCH I TORRES S/N,Gas,2016,Juny,0,€71.39
EDI131,ESPAI CANGUR,AV PRAT DE LA RIBA 84,Gas,2015,Gener,13347,€936.59
ESC025,ESCOLA BRESSOL GIRAVOLTES,"CRTA. CALDES, 52",Gas,2016,Març,10297,€678.39
EDI022,EBASP ZONA 1 LUDOTECA,ANTONI GAUDI S/N LOCAL 13,Electricitat,2011,Maig,581,€122.00
EDI017,ROCA UMBERT - IMPREMTA,LLUIS COMPANYS Nº 1,Gas,2011,Gener,26733,€1418.67
EDI016,BIBLIOTECA JOAN CAMPS,ROGER DE FLOR 66,Electricitat,2016,Juliol,21,€14.59
EDI020,SALA FRANCESC TARAFA,CORRO 47,Gas,2013,Desembre,13355,€1019.13
ESC002,ESCOLA GRANOLLERS,CTRA DE CALDES,Gas,2011,Abril,11033,€701.01
REG190,FONT ORNAMENTAL PL SERRAT I BONASTRE,PL SERRAT I BONASTRE s/n,Electricitat,2014,Octubre,31,€178.23
EDI078,CENTRE ASSISTENCIA INTEGRAL FAMILIA - CAIF,1ª MARQUES DE LES FRANQUESES 123,Aigua,2014,Març,6,€43.63
EDI072,AAVV CONGOST,CELLECS 18,Aigua,2012,Gener,0,€21.56
EDI012,EDIFICI AJUNTAMENT,PL FOLCH I TORRES S/N,Electricitat,2014,Octubre,34380,€5242.42
ESP005,CAMP DE FUTBOL CAN GILI,CTRA DE CALDES S/N,Electricitat,2015,Desembre,2428,€571.68
ESC024,ESCOLA BRESSOL EL TELER,C/ JAUME CORBERA CANTONADA C/ CORRO,Gas,2012,Desembre,14282,€1034.99
EDI019,ANTENA EMISSORA RADIO GUARDIA RUBANA,CAMI CEMENTIRI 1,Electricitat,2013,Agost,5365,€1031.13
ESP009,PAVELLO MUNICIPAL D'ESPORTS (PARQUET),C/ LLUIS COMPANYS 1,Electricitat,2015,Octubre,2607,€560.06
EDI001,PIS AJUDA POBLE SAHARAUI (7è),1ª MARQUES DE LES FRANQUESES 146 7- 4,Electricitat,2016,Desembre,620,€113.33
FLO001,SERVEIS UOS,SERVEIS UOS,Gasoil,2015,Novembre,9262,€1119.74
EDI006,CENTRE CIVIC  CAN GILI,CTRA DE CALDES BXS,Electricitat,2014,Abril,3018,€544.33
EDI091,UOS - UNITAT OPERATIVA SERVEIS (Edifici Nou),CAMI CAN MANY N 8,Electricitat,2014,Desembre,10256,€1627.27
EDI074,ROCA UMBERT CUB BUCS MUSICALS,MONTSERRAT S/N,Aigua,2013,Març,7,€34.25
ESC001,COL.LEGI SALVADOR ESPRIU,C/ JOAN CAMPS 6 - 8,Electricitat,2013,Abril,6915,€1357.72
ESC021,ESCOLA BRESSOL MUNICIPAL TORTUGA,C/ GARROTXA 8,Gas,2013,Febrer,10839,€813.87
ESP006,CAMP DE FUTBOL PONENT,C/ RAFAEL DE CASANOVA S/N,Electricitat,2013,Juny,0,€24.56
ESC009,COL.LEGI JOAN SOLANS,PLAÇA SANT MIQUEL 20,Gas,2014,Desembre,19107,€1398.40
EDI126,CENTRE D'ACOLLIDA D'ANIMALS DOMÈSTICS,"C/SEVERO OCHOA, 103 (FONT DEL RÀDIUM)",Electricitat,2013,Novembre,2806,€527.73
ESC010,COL.LEGI GRANULARIUS,C/ MARESME 4,Gas,2014,Abril,9902,€745.52
EDI009,CENTRE CIVIC DE PALOU,PSG DR FABREGAS 38 LOCAL,Electricitat,2015,Octubre,757,€272.01
BOM001,AFORES 100 BOMBA AGUA horts?,AFORES 100 BOMBA AGUA Horts?,Electricitat,2015,Juliol,54,€251.89
EDI101,CENTRE OBERT DE PONENT,C/RAFAEL DE CASANOVA.70,Aigua,2015,Març,7,€27.12
EDI011,MASIA TRES TORRES,DE LES TRES TORRES 18 - 20,Electricitat,2012,Agost,2228,€495.60
ESP019,PAVELLO D' ESPORT CAN BASSA,C/ ESTEVE TERRADES S/N,Electricitat,2014,Setembre,4639,€848.14
BOM014,RAFAEL CASANOVAS S/N,RAFAEL CASANOVAS S/N,Electricitat,2015,Novembre,113,€65.69
EDI021,BIBLIOTECA CAN PEDRALS,ESPI I GRAU 2,Electricitat,2013,Febrer,13568,€2608.03
EDI082,CAN JONCH CENTRE CIVIC PER LA PAU,REC 19,Aigua,2016,Març,14,€36.94
BOM012,SISTEMA DE REG DE LA CONCA Jordi Camp,PASSEIG FLUVIAL C/ Jordi Camp,Electricitat,2014,Agost,71,€42.73
ESC003,COL·LEGI FERRER I GUÀRDIA,C/ ROGER DE FLOR 179,Gas,2014,Setembre,5893,€492.68
ESP021,PISTES MUNICIPALS DE TENNIS,C/. CAMP DE LES MORERES 0023 LOC 08401,Electricitat,2015,Abril,734,€469.99
EDI008,ANTIGUES ESCOLES DE PALOU,CAMI RAL CANT PSEG FÀBREGAS,Aigua,2013,Gener,24,€43.14
EDI042,EDIFICI ADMINISTRATIU CAN PUNTES,SANTA ELISABET 16,Electricitat,2016,Novembre,1778,€441.26
ESC013,ESCOLA MUNICIPAL DEL TREBALL,C/ ROGER DE FLOR 66,Electricitat,2013,Novembre,19453,€3928.86
EDI131,ESPAI CANGUR,AV PRAT DE LA RIBA 84,Gas,2011,Setembre,0,€68.58
EDI066,CTUG CENTRE TECNOLÒGIC I UNIVERSITARI DE GRANOLLERS,MONTSERRAT Nº 36,Aigua,2015,Gener,29,€83.77
EDI048,MAGATZEM INFORMÀTICA,C/ TORRAS I BAGES 15 2n,Electricitat,2011,Agost,2777,€486.77
ESP013,PAVELLO EL CONGOST,MARIA PALAU S/N CTDA A GAUDI,Electricitat,2012,Agost,5454,€1171.99
ESC001,COL.LEGI SALVADOR ESPRIU,C/ JOAN CAMPS 6 - 8,Aigua,2011,Juliol,756,€733.28
BOM012,SISTEMA DE REG DE LA CONCA Jordi Camp,PASSEIG FLUVIAL C/ Jordi Camp,Electricitat,2016,Abril,65,€41.44
ESC008,COL.LEGI MESTRES MONTAÑA,CAMI CAN BASSA 1,Electricitat,2012,Maig,4284,€1002.54
EDI121,TEATRE AUDITORI,C/ GREGORI RESINA,Electricitat,2013,Febrer,30321,€6315.90
FLO015,SISTEMES INFORMACIO,SISTEMES INFORMACIO,Gasoil,2016,Març,451,€61.06
ESC012,COL.LEGI PEREANTON,C/ ESPI I GRAU 3,Gas,2014,Octubre,2872,€287.59
EDI081,CENTRE CIVIC NORD,ROSSELLO 79,Electricitat,2014,Octubre,9622,€2142.41
ESC010,COL.LEGI GRANULARIUS,C/ MARESME 4,Gas,2016,Agost,0,€120.87
EDI010,CENTRE CIVIC JAUME OLLER,MARE DE DÉU DE MONTSERRAT 47,Gas,2012,Agost,174,€65.11
EDI070,GUARDIA URBANA,ISABEL DE VILLENA S/N,Aigua,2015,Juliol,349,€387.91
ESP019,PAVELLO D' ESPORT CAN BASSA,C/ ESTEVE TERRADES S/N,Electricitat,2016,Maig,10651,€1820.17
BOM013,RAFAEL CASANOVAS S/N,C/Rafael Casanovas,Electricitat,2012,Agost,345,€131.17
EDI066,CTUG CENTRE TECNOLÒGIC I UNIVERSITARI DE GRANOLLERS,MONTSERRAT Nº 36,Gas,2011,Agost,0,€107.40
ESC012,COL.LEGI PEREANTON,C/ ESPI I GRAU 3,Electricitat,2016,Juny,4469,€669.18
ESC003,COL·LEGI FERRER I GUÀRDIA,C/ ROGER DE FLOR 179,Gas,2016,Maig,6037,€512.52
EDI006,CENTRE CIVIC  CAN GILI,CTRA DE CALDES BXS,Electricitat,2016,Agost,10016,€1339.16
FLO002,SEGURETAT CIUTADANA,SEGURETAT CIUTADANA,Gasoil,2014,Febrer,28510,€3867.93
EDI034,OFICINA MUNICIPAL ACOLLIDA (ANTIC GRA),CORRO 49,Electricitat,2013,Desembre,3678,€641.28
ESC011,COL.LEGI FÀTIMA,C/ MARIA PALAU,Electricitat,2011,Març,2946,€535.87
EDI096,ROCA UMBERT CENTRE AUDIOVISUAL,MONSTSERRAT S/N,Aigua,2015,Gener,69,€100.61
ESC004,ESCOLA MUNICIPAL SALVADOR LLOBET,C/ ROGER DE FLOR 64,Aigua,2015,Març,417,€518.05
BOM003,BOMBA AIGUA PASSEIG FLUVIAL CASETA REG,PS FLUVIAL MARGE ESQUERRE CASETA BOMBA,Electricitat,2012,Agost,1073,€242.45
ESP002,PISTES MUNICIPALS D' ATLETISME,C/ CAMP DE LES MORERES S/N,Aigua,2012,Juliol,2128,€388.78
EDI123,CENTRE CULTURAL MUNICIPAL,"C/Joan Camps, 1, baixos",Aigua,2012,Març,199,€208.06
EDI015,CENTRE CIVIC CAN BASSA CULTURA,PL JOAN OLIVER 1,Gas,2013,Juny,114,€98.35
EDI083,EDIFICI El GRA,PLAÇA DE L´ESGLESIA S/N,Aigua,2016,Març,264,€322.71
ESP018,CAMP FUTBOL FONT VERDA,C/ JOSEP CARNER S/N,Gas,2012,Agost,4150,€287.05
ESP005,CAMP DE FUTBOL CAN GILI,CTRA DE CALDES S/N,Aigua,2012,Octubre,277,€112.74
EDI024,SALA CULTURA SANT FRANCESC,ESPI I GRAU 1,Gas,2013,Juny,0,€22.68
EDI027,OFICINA D'INFORMACIO TURÍSTICA,SANT ROC 14,Aigua,2011,Octubre,1,€21.48
EDI087,CENTRE OBERT SUD,JULIA CENTELLES 14,Electricitat,2011,Març,632,€152.72
EDI034,OFICINA MUNICIPAL ACOLLIDA (ANTIC GRA),CORRO 49,Electricitat,2014,Juliol,1416,€382.63
EDI001,PIS AJUDA POBLE SAHARAUI (7è),1ª MARQUES DE LES FRANQUESES 146 7- 4,Electricitat,2012,Febrer,807,€163.02
ESP010,CAMP DE FUTBOL PRIMER DE MAIG,C/ PIUS XII S/N,Electricitat,2016,Abril,4315,€949.11
EDI079,BIBLIOTECA ROCA UMBERT,"MARE DE DÉU DE MONTSERRAT, 36",Electricitat,2015,Juliol,92638,€14103.57
EDI074,ROCA UMBERT CUB BUCS MUSICALS,MONTSERRAT S/N,Aigua,2016,Març,8,€35.73
ESC005,COL.LEGI PONENT,C/ RAFAEL DE CASANOVA,Gas,2011,Agost,0,€101.89
ESP002,PISTES MUNICIPALS D' ATLETISME,C/ CAMP DE LES MORERES S/N,Gas,2015,Juny,5147,€442.53
ESC001,COL.LEGI SALVADOR ESPRIU,C/ JOAN CAMPS 6 - 8,Electricitat,2016,Abril,9046,€1475.20
EDI016,BIBLIOTECA JOAN CAMPS,ROGER DE FLOR 66,Electricitat,2014,Desembre,117,€41.47
EDI001,PIS AJUDA POBLE SAHARAUI (7è),1ª MARQUES DE LES FRANQUESES 146 7- 4,Electricitat,2013,Desembre,1490,€288.39
FLO002,SEGURETAT CIUTADANA,SEGURETAT CIUTADANA,Gasoil,2012,Juliol,19011,€2722.94
EDI019,ANTENA EMISSORA RADIO GUARDIA RUBANA,CAMI CEMENTIRI 1,Electricitat,2016,Agost,628,€148.70
EDI016,BIBLIOTECA JOAN CAMPS,ROGER DE FLOR 66,Electricitat,2013,Juliol,0,€95.07
EDI083,EDIFICI El GRA,PLAÇA DE L´ESGLESIA S/N,Gas,2011,Octubre,218181,€14135.72
ESP003,PAVELLO EL TUB,C/ CAMP DE LES MORERES S/N,Electricitat,2015,Abril,5899,€1106.79
EDI034,OFICINA MUNICIPAL ACOLLIDA (ANTIC GRA),CORRO 49,Electricitat,2012,Febrer,4217,€766.88
ESC005,COL.LEGI PONENT,C/ RAFAEL DE CASANOVA,Aigua,2015,Gener,358,€493.99
EDI129,PIS D'ACOLLIDA SERVEIS SOCIALS,"MANRESA, 11",Electricitat,2012,Juliol,0,€15.38
EDI091,UOS - UNITAT OPERATIVA SERVEIS (Edifici Nou),CAMI CAN MANY N 8,Electricitat,2016,Juliol,7107,€1176.63
ESC025,ESCOLA BRESSOL GIRAVOLTES,"CRTA. CALDES, 52",Gas,2013,Març,2795,€278.38
EDI087,CENTRE OBERT SUD,JULIA CENTELLES 14,Gas,2015,Febrer,5718,€373.95
EDI012,EDIFICI AJUNTAMENT,PL FOLCH I TORRES S/N,Gas,2013,Juny,0,€208.11
EDI101,CENTRE OBERT DE PONENT,C/RAFAEL DE CASANOVA.70,Gas,2012,Agost,2031,€153.84
ESP017,CASAL DE L'ESPORT,C/ GIRONA 52 - 54,Aigua,2014,Octubre,38,€50.59
EDI021,BIBLIOTECA CAN PEDRALS,ESPI I GRAU 2,Aigua,2015,Octubre,139,€186.05
EDI100,AAVV CAN MONIC,PUIG I PERUCHO 2,Electricitat,2015,Octubre,215,€87.46
ESC016,ESCOLA LLEDONER,C/ ROSELLÓ 95,Electricitat,2012,Agost,5059,€1048.97
EDI131,ESPAI CANGUR,AV PRAT DE LA RIBA 84,Electricitat,2014,Juliol,554,€196.02
EDI005,EDIFICI AISS,AV DEL PARC 9,Electricitat,2013,Novembre,3564,€715.68
EDI071,CENTRE D'EDUCACIÓ AMBIENTAL CAN CABANYES,CAN GORDI - CAN CATALÀ,Aigua,2014,Octubre,1,€25.76
EDI087,CENTRE OBERT SUD,JULIA CENTELLES 14,Electricitat,2014,Novembre,814,€203.97
EDI021,BIBLIOTECA CAN PEDRALS,ESPI I GRAU 2,Electricitat,2016,Febrer,12125,€1919.83
EDI082,CAN JONCH CENTRE CIVIC PER LA PAU,REC 19,Aigua,2013,Març,9,€34.64
EDI084,CASA ZONA VERDE,MARTÍ GRIVE 47,Electricitat,2011,Gener,240,€50.27
EDI072,AAVV CONGOST,CELLECS 18,Aigua,2011,Març,1,€20.62
ESP010,CAMP DE FUTBOL PRIMER DE MAIG,C/ PIUS XII S/N,Aigua,2011,Juliol,1455,€362.83
ESP006,CAMP DE FUTBOL PONENT,C/ RAFAEL DE CASANOVA S/N,Gas,2014,Octubre,5050,€395.11
EDI020,SALA FRANCESC TARAFA,CORRO 47,Electricitat,2015,Gener,928,€294.96
EDI088,ESTACIO DE CONTROL DE CONTAMINACIO,FRANCESC MACIÀ 145,Electricitat,2015,Novembre,815,€156.91
EDI049,AAVV GRANOLLERS NORD,C/ FIGUERES 15,Electricitat,2015,Novembre,42,€87.04
EDI131,ESPAI CANGUR,AV PRAT DE LA RIBA 84,Electricitat,2013,Desembre,700,€212.26
ESP006,CAMP DE FUTBOL PONENT,C/ RAFAEL DE CASANOVA S/N,Electricitat,2016,Juny,887,€700.38
REG176,FONT ORNAMENTAL CAN GILI,CAN GILI S/N,Electricitat,2015,Desembre,23,€63.07
FLO018,URBANISME,URBANISME,Gasoil,2011,Desembre,484,€62.78
EDI002,PIS AJUDA POBLE SAHARAUI (8è),1ª MARQUES DE LES FRANQUESES 146 8 - 3,Electricitat,2012,Novembre,130,€37.74
ESC012,COL.LEGI PEREANTON,C/ ESPI I GRAU 3,Electricitat,2013,Juny,4072,€783.63
ESP018,CAMP FUTBOL FONT VERDA,C/ JOSEP CARNER S/N,Aigua,2015,Març,0,€29.91
ESC011,COL.LEGI FÀTIMA,C/ MARIA PALAU,Electricitat,2012,Gener,2300,€433.56
EDI052,MUSEU MUNICIPAL,ANSELM CLAVÉ 40 - 42,Electricitat,2015,Agost,1564,€753.29
ESC003,COL·LEGI FERRER I GUÀRDIA,C/ ROGER DE FLOR 179,Gas,2013,Maig,4594,€396.70
FLO015,SISTEMES INFORMACIO,SISTEMES INFORMACIO,Gasoil,2013,Març,892,€146.48
