CODI CARRER,CODI CARRER INE,SIGLA,NOM OFICIAL,NOM CURT,NÚMERO MÍNIM,NÚMERO MÀXIM
1918,1918,C,MARTI GRIVE,MARTI GRIVE,1,49
1921,1921,C,ESTEVE GILABERT BRUNIQUER,BRUNIQUER,1,58
1923,1923,.,CA L'ESTRADA,CA L'ESTRADA,0,0
1924,1924,.,CA L'USEL,CA L'USEL,0,0
1926,1926,.,MARCEL.LA (LA),MARCEL.LA (LA),0,0
1927,1927,.,MAS COLL DE PALOU,MAS COLL DE PALOU,0,0
1928,1928,PL,CABRITS,CABRITS,1,7
1929,1929,.,CA L'ANGELET,CA L'ANGELET,0,0
1930,1930,.,CAL COVANER,CAL COVANER,0,0
1931,1931,.,CAL GRAVAT,CAL GRAVAT,0,0
1932,1932,.,CAL JARDINER,CAL JARDINER,0,0
1933,1933,.,CAL MALO,CAL MALO,0,0
1934,1934,.,MARINER,MARINER,0,0
1935,1935,.,MARINER NOU,MARINER NOU,0,0
1936,1936,.,CAL NEN,CAL NEN,0,0
1937,1937,.,CAL PASTOR,CAL PASTOR,0,0
1938,1938,.,CAL ROS DELS OCELLS,CAL ROS DELS OCELLS,0,0
1939,1939,.,CAN TARONJAIRE,CAN TARONJAIRE,0,0
1940,1940,.,CAL VERMELL,CAL VERMELL,0,0
1941,1941,C,PEDRO CALDERON LA BARCA,PEDRO CALDERON LA BARCA,2,19
1942,1942,CAMI,CAN BASSA,CAN BASSA,2,52
1943,1943,C,CAMI ROMA,CAMI ROMA,2,71
1944,1944,C,CAMI VELL DE CANOVELLES,CAMI VELL CANOVELLES,1,88
1945,1945,C,CAMI VELL LLIÇA D'AMUNT,CAMI VELL LLIÇA A.,1,13
1946,1946,C,CAMPRODON,CAMPRODON,1,53
1947,1947,PL,CAN BASSA,CAN BASSA,1,4
1949,1949,.,CAN BELITRE,CAN BELITRE,0,0
1950,1950,.,CAN BONASTRE,CAN BONASTRE,0,0
1951,1951,.,CAN BOU,CAN BOU,0,0
1952,1952,.,CAN BRUTAU,CAN BRUTAU,0,0
1953,1953,.,CAN BUFI,CAN BUFI,0,0
1954,1954,.,CAL CARBASSOT,CAL CARBASSOT,0,0
1955,1955,.,CAN CASACA,CAN CASACA,0,0
1956,1956,.,CAL CEBALLOT,CAL CEBALLOT,0,0
1958,1958,.,CAN COLOMER,CAN COLOMER,0,0
1959,1959,.,CAN COLL,CAN COLL,0,0
1960,1960,.,CAN QUADROS,CAN QUADROS,0,0
1963,1963,.,CAN PRIETO,CAN PRIETO,0,0
1964,1964,.,CAN FERRAN,CAN FERRAN,0,0
1967,1967,.,CAN GURRI,CAN GURRI,0,0
1969,1969,.,CAN JANE DE LA SERRA,CAN GENER DE LA SERRA,0,0
1970,1970,.,CAN JAUME PADROS,CAN JAUME PADROS,0,0
1973,1973,.,CAN JULIANET,CAN JULIANET,0,0
1974,1974,.,CAL LLAUDER,CAL LLAUDER,0,0
1976,1976,.,CAN MANY,CAN MANY,0,0
1978,1978,.,CAN MASFERRER,CAN MASFERRER,0,0
1979,1979,.,CAN MASFERRER DEL PLA,CAN MASFERRER DEL PLA,0,0
1980,1980,.,CAN MAYOLET,CAN MAYOLET,0,0
1982,1982,PL,CAN MONIC,CAN MONIC,1,8
1986,1986,.,PEP JULIA,CAN PEP JULIA,0,0
1988,1988,.,CAN ROCA,CAN ROCA,0,0
1989,1989,.,CAN PERE RIERA,CAN PERE RIERA,0,0
1990,1990,.,CAN PERE RIERA PETIT,CAN PERE RIERA PETIT,0,0
1991,1991,.,CAL PETIT MANY,CAL PETIT MANY,0,0
1992,1992,.,CAN PLANTADA,CAN PLANTADA,0,0
1993,1993,.,CAN PUÇA,CAN PUÇA,0,0
1994,1994,.,CAN PUIG MIQUEL,CAN PUIG MIQUEL,0,0
1995,1995,C,CAN PUIG,CAN PUIG,1,8
1996,1996,.,CAN PUIGPEY,CAN PUIGPEY,0,0
1998,1998,.,CAN RAMON MAYOLET,CAN RAMON MAYOLET,0,0
1999,1999,.,CAN REI,CAN REI,0,0
2000,2000,.,CAN RIBA DE LA SERRA,CAN RIBA DE LA SERRA,0,0
2001,2001,.,CAN RIBES NOU,CAN RIBES NOU,0,0
2004,2004,.,CAN ROVIRA,CAN ROVIRA,0,0
2005,2005,.,CAN SALELLES,CAN SALELLES,0,0
2006,2006,.,CAN TIA,CAN TIA,0,0
2007,2007,PL,TINET,TINET,0,0
2008,2008,.,CAN TITUS,CAN TITUS,0,0
2011,2011,.,VENTURA,CAN VENTURA,0,0
2015,2015,.,CAN XACO,CAN XACO,0,0
2016,2016,.,CAN XARLET,CAN XARLET,0,0
2017,2017,.,CAN XOLINO,CAN XOLINO,0,0
2018,2018,C,CANIGO,CANIGO,1,21
2019,2019,CTRA,CANOVELLES,CANOVELLES,1,38
2020,2020,C,CAPCIR,CAPCIR,0,0
2022,2022,C,CARLES RIBA,CARLES RIBA,1,36
2023,2023,.,CA L'AMADEU,CA L'AMADEU,0,0
2029,2029,.,CAN VICENÇ,CAN VICENÇ,0,0
2030,2030,.,VINYA CURENYA,VINYA CURENYA,0,0
2031,2031,PL,CASERNA,CASERNA,1,10
2032,2032,C,CASTELLA,CASTELLA,1,8
2033,2033,C,CATALUNYA,CATALUNYA,1,36
2035,2035,PL,CATALUNYA,CATALUNYA,1,7
2036,2036,C,CELLECS,CELLECS,1,22
2037,2037,C,MIGUEL DE CERVANTES,MIGUEL DE CERVANTES,2,23
2038,2038,C,CRISTOFOL COLOM,CRISTOFOL COLOM,2,41
2039,2039,C,COLOMBIA,COLOMBIA,1,20
2042,2042,C,COMERÇ,COMERÇ,1,29
2043,2043,C,COMTES DE BELL-LLOC,COMTES DE BELL-LLOC,1,15
2044,2044,C,CONCORDIA,CONCORDIA,1,10
2045,2045,C,CONESTABLE DE PORTUGAL,CONESTABLE DE PORTUGAL,1,45
2046,2046,C,CONGOST,CONGOST,1,52
2047,2047,C,CONSTANCIA,CONSTANCIA,1,36
2048,2048,PL,CONSTITUCIO,CONSTITUCIO,1,4
2050,2050,PL,CORONA,CORONA,1,29
2051,2051,C,CORRO,CORRO,1,412
2052,2052,C,COSTA RICA,COSTA RICA,1,21
2053,2053,PG,FRANCESC FABREGAS,FRANCESC FABREGAS,2,68
2054,2054,C,ALEXANDER FLEMING,ALEXANDER FLEMING,1,30
2055,2055,PL,DR. GUILLAMET,DR. GUILLAMET,0,0
2056,2056,PL,JOSEP OLIVERAS,JOSEP OLIVERAS,0,0
2057,2057,C,DR. RIERA,DR. RIERA,1,7
2058,2058,C,FRANCESC DURAN I REYNALS,FRANCESC DURAN I REYNALS,1,33
2059,2059,C,TOMAS ALBA EDISON,TOMAS ALBA EDISON,1,7
2060,2060,C,EDUARD TOLDRA,EDUARD TOLDRA,3,6
2061,2061,C,EMILI BOTEY ALSINA,EMILI BOTEY ALSINA,2,24
2063,2063,C,ENGINYER,ENGINYER,1,54
2064,2064,C,ENRIC GRANADOS,ENRIC GRANADOS,2,20
2065,2065,JDIN,ENGINYER,ENGINYER,0,0
2066,2066,C,EQUADOR,EQUADOR,1,25
2067,2067,C,ESPANYA,ESPANYA,2,61
2068,2068,PL,ESPANYA,ESPANYA,0,0
2070,2070,AV,ESTACIO DEL NORD,ESTACIO DEL NORD,1,36
2071,2071,C,ESTEVE GARRELL,ESTEVE GARRELL,1,6
2072,2072,C,ESTEVE TERRADES,ESTEVE TERRADES,6,66
2074,2074,C,FABRICA,FABRICA,2,12
2075,2075,C,FELIP II,FELIP II,1,28
2076,2076,C,FIGUERES,FIGUERES,1,19
2078,2078,PG,FLUVIAL,FLUVIAL,0,0
2079,2079,C,FOMENT,FOMENT,1,61
2080,2080,C,FONT DE L'ESCOT,FONT DE L'ESCOT,30,37
2081,2081,PL,FONT VERDA,FONT VERDA,1,3
2082,2082,C,JOAN PERE FONTANELLA,JOAN PERE FONTANELLA,1,45
2083,2083,C,FRANCESC GIMENO,FRANCESC GIMENO,0,0
2084,2084,C,FRANCESC LLOBET,FRANCESC LLOBET,1,11
2085,2085,C,FRANCESC MACIA,FRANCESC MACIA,2,300
2086,2086,C,FRANCESC RIBAS,FRANCESC RIBAS,1,88
2087,2087,C,FRANCESC SERRA,FRANCESC SERRA,1,13
2088,2088,C,FREDERIC MOMPOU,FREDERIC MOMPOU,1,45
2089,2089,C,FREDERIC SOLER,FREDERIC SOLER,6,32
2090,2090,C,GABRIEL FERRATER,GABRIEL FERRATER,1,3
2091,2091,C,GARROTXA,GARROTXA,1,17
2092,2092,C,GAS,GAS,1,14
2093,2093,BARRI,GIRO,GIRO,32,34
2094,2094,C,GIRONA,GIRONA,1,337
2095,2095,C,FRANCISCO DE GOYA,FRANCISCO DE GOYA,1,28
2097,2097,C,GRECO,GRECO,2,14
2099,2099,C,GUAYAQUIL,GUAYAQUIL,1,105
2100,2100,C,HOSPITAL,HOSPITAL,1,49
2101,2101,C,EMILI HUGUET DEL VILLAR,EMILI HUGUET DEL VILLAR,1,35
2102,2102,C,IGNASI IGLESIAS,IGNASI IGLESIAS,2,16
2103,2103,C,INDUSTRIA,INDUSTRIA,2,72
2106,2106,C,ISABEL DE VILLENA,ISABEL DE VILLENA,1,66
2107,2107,PL,JACINT VERDAGUER,JACINT VERDAGUER,1,7
2108,2108,C,JAUME CORBERA,JAUME CORBERA,0,29
2109,2109,C,JAUME CAMP I LLOREDA,JAUME CAMP I LLOREDA,0,0
2110,2110,PL,JAUME I,JAUME I,1,15
2111,2111,C,JOAN CAMPS,JOAN CAMPS,1,8
2112,2112,C,JOAN COLL,JOAN COLL,1,46
2113,2113,C,JUAN DE LA CIERVA,JUAN DE LA CIERVA,1,30
2114,2114,C,JOAN ENRIC DUNANT,JOAN ENRIC DUNANT,1,135
2115,2115,C,JOAN MARAGALL,JOAN MARAGALL,1,14
2117,2117,PL,JOAN OLIVER,JOAN OLIVER,1,1
2118,2118,C,JOAN PRIM,JOAN PRIM,1,297
2119,2119,C,JOANOT MARTORELL,JOANOT MARTORELL,1,279
2121,2121,C,JOAQUIM MIR,JOAQUIM MIR,0,0
2122,2122,C,JORDI CAMP,JORDI CAMP,1,150
2123,2123,PL,JORDI CAMP,JORDI CAMP,0,0
2124,2124,TRVA,JORDI CAMP,JORDI CAMP,1,21
2125,2125,PL,JOSEP BARANGE,JOSEP BARANGE,1,14
2126,2126,C,JOSEP CARNER,JOSEP CARNER,1,56
2127,2127,C,JOSEP MARIA DE SAGARRA,JOSEP MARIA SAGARRA,1,100
2128,2128,C,JOSEP IRLA,JOSEP IRLA,1,4
2129,2129,C,JOSEP MARIA RUERA,JOSEP MARIA RUERA,1,30
2130,2130,C,JOSEP TRUETA,JOSEP TRUETA,1,13
2131,2131,C,JOSEP UMBERT,JOSEP UMBERT,0,151
2132,2132,C,JOSEP VICENÇ FOIX,JOSEP VICENÇ FOIX,3,3
2133,2133,C,JULI GARRETA,JULI GARRETA,1,18
2135,2135,C,JULIA CENTELLES,JULIA CENTELLES,1,20
2138,2138,C,LOPE FELIX DE VEGA CARPIO,LOPE DE VEGA,1,28
2139,2139,C,LLEDONER,LLEDONER,1,35
2140,2140,PTGE,LLEDONER,LLEDONER,1,68
2142,2142,C,LLEIDA,LLEIDA,1,10
2143,2143,C,LLEO,LLEO,1,34
2144,2144,C,LLEVANT,LLEVANT,2,80
2145,2145,PL,LLIBERTAT,LLIBERTAT,1,5
2146,2146,C,LLIRI,LLIRI,3,50
2147,2147,C,LLORENÇ VILLALONGA,LLORENÇ VILLALONGA,1,35
2148,2148,C,LLORER,LLORER,1,8
2149,2149,C,LLUIS VIVES,LLUIS VIVES,1,69
2150,2150,C,FERNAO MAGALLANES,FERNAO MAGALLANES,1,11
2151,2151,PL,JOSEP MALUQUER I SALVADOR,MALUQUER I SALVADOR,1,28
2152,2152,C,MALLORCA,MALLORCA,1,20
2153,2153,C,MANRESA,MANRESA,1,42
2154,2154,C,MANUEL MASJUAN,MANUEL MASJUAN,1,1
2155,2155,PL,MAGRANER,MAGRANER,0,0
2157,2157,C,MARESME,MARESME,1,33
2158,2158,C,MARIA FORTUNY,MARIA FORTUNY,1,49
2159,2159,C,MARIA MASPONS,MARIA MASPONS,1,17
2160,2160,C,MARIA PALAU,MARIA PALAU,2,27
2161,2161,.,MARINA (LA),MARINA (LA),0,0
2162,2162,C,MOLLET,MOLLET,1,53
2164,2164,C,MAS DRAPER,MAS DRAPER,2,6
2165,2165,C,MAS ESTAPER,MAS ESTAPER,1,8
2166,2166,C,MAS GILI,MAS GILI,1,3
2167,2167,C,MAS LLEDO,MAS LLEDO,1,3
2169,2169,C,MATARO,MATARO,1,43
2170,2170,BARRI,MAYOL,MAYOL,0,0
2171,2171,C,MARCELINO MENENDEZ PELAYO,MENENDEZ PELAYO,1,23
2172,2172,C,MERCE,MERCE,1,11
2173,2173,C,MANUEL DE FALLA,MANUEL DE FALLA,19,54
2174,2174,C,MIGDIA,MIGDIA,7,72
2176,2176,C,MINETES,MINETES,1,53
2177,2177,C,MIQUEL SERVET,MIQUEL SERVET,1,26
2178,2178,C,MOIANES,MOIANES,1,40
2179,2179,C,MOLI,MOLI,1,6
2180,2180,C,MOLI DE LA SAL,MOLI DE LA SAL,1,4
2181,2181,C,MONTCADA,MONTCADA,1,11
2183,2183,C,MONTSENY,MONTSENY,2,33
2185,2185,PG,MUNTANYA,MUNTANYA,1,187
2187,2187,BARRI,MUNTANYOLA,MUNTANYOLA,0,0
2188,2188,C,MURALLA,MURALLA,1,22
2189,2189,C,BARTOLOME ESTEBAN MURILLO,MURILLO,1,77
2190,2190,C,MUSEU,MUSEU,1,24
2193,2193,C,NARCIS MONTURIOL,NARCIS MONTURIOL,1,47
2194,2194,C,NAVARRA,NAVARRA,1,103
2195,2195,C,NICARAGUA,NICARAGUA,1,15
2197,2197,C,NOU,NOU,1,33
2198,2198,C,MARE DE DEU DE NURIA,MARE DE DEU DE NURIA,1,25
2199,2199,PL,OLI,OLI,2,8
2200,2200,PL,OLLES,OLLES,1,19
2202,2202,C,OSONA,OSONA,1,26
2204,2204,C,PALAUDARIES,PALAUDARIES,1,104
2205,2205,C,PALLARS,PALLARS,1,6
2209,2209,PL,PAU CASALS,PAU CASALS,1,20
2211,2211,PL,PEIX,PEIX,1,9
2212,2212,C,PEP VENTURA,PEP VENTURA,1,41
2214,2214,PL,LLUIS PERPINYA,LLUIS PERPINYA,1,30
2216,2216,C,PINOS,PINOS,1,53
2218,2218,C,PINTORS VERGOS,PINTORS VERGOS,1,20
2219,2219,C,JOSEP PINYOL,JOSEP PINYOL,1,8
2220,2220,JDIN,JOSEP SALA PERRAMON,JOSEP SALA PERRAMON,0,0
2222,2222,C,FRANCISCO DE PIZARRO,FRANCISCO PIZARRO,1,41
2223,2223,TRAV,FRANCISCO DE PIZARRO,FRANCISCO PIZARRO,5,16
2226,2226,C,POMPEU FABRA,POMPEU FABRA,3,18
2227,2227,C,PONENT,PONENT,1,96
2228,2228,C,PORTALET,PORTALET,1,18
2229,2229,PL,PORXADA,PORXADA,1,35
2230,2230,AV,ENRIC PRAT DE LA RIBA,ENRIC PRAT DE LA RIBA,1,105
2233,2233,C,PRIMER MARQUES DE LES FRANQUESES,1R MARQUES FRANQUESES,1,150
2234,2234,C,PRINCEP DE VIANA,PRINCEP DE VIANA,1,31
2235,2235,C,PRINCESA,PRINCESA,1,95
2236,2236,C,BONAVENTURA PUIG I PERUCHO,PUIG I PERUCHO,1,16
2237,2237,C,PUIGGRACIOS,PUIGGRACIOS,1,10
2238,2238,C,FRANCISCO DE QUEVEDO,FRANCISCO DE QUEVEDO,2,18
2239,2239,C,QUINTA AVENIDA,QUINTA AVENIDA,2,42
2240,2240,C,RAFAEL CASANOVA,RAFAEL CASANOVA,34,166
2241,2241,C,RAMON BERENGUER III,RAMON BERENGUER III,1,33
2242,2242,C,RAMON DAGA,RAMON DAGA,1,17
2243,2243,C,SANTIAGO RAMON I CAJAL,SANTIAGO RAMON I CAJAL,1,22
2244,2244,C,RAMON LLULL,RAMON LLULL,1,53
2245,2245,C,REC,REC,1,52
2247,2247,C,MIQUEL RICOMA,MIQUEL RICOMA,1,176
2248,2248,C,RIPOLLES,RIPOLLES,2,121
2249,2249,C,ROGER DE FLOR,ROGER DE FLOR,1,127
2250,2250,C,ROGER DE LLURIA,ROGER DE LLURIA,1,60
2251,2251,C,ROMA,ROMA,3,3
2252,2252,CTRA,RONDA SUD,RONDA SUD,1,75
2253,2253,C,ROSSELLO,ROSSELLO,2,148
2255,2255,PL,SALVADOR CASANOVA,SALVADOR CASANOVA,1,6
2257,2257,C,SALVADOR ESPRIU,SALVADOR ESPRIU,1,30
2258,2258,C,MARIA SANS,MARIA SANS,1,32
2259,2259,C,SANT ANTONI,SANT ANTONI,2,23
2260,2260,C,SANT ANTONI MARIA CLARET,SANT ANTONI M. CLARET,1,16
2261,2261,C,SANT BARTOMEU,SANT BARTOMEU,2,8
2263,2263,AV,SANT ESTEVE,SANT ESTEVE,1,98
2264,2264,C,SANT FERRAN,SANT FERRAN,1,45
2266,2266,C,SANT JAUME,SANT JAUME,2,144
2267,2267,PTGE,SANT JAUME,SANT JAUME,1,35
2268,2268,BARRI,SANT JOAN,SANT JOAN,1,5
2269,2269,C,SANT JOAN BAPTISTA,SANT JOAN BAPTISTA,1,3
2270,2270,C,SANT JOSEP,SANT JOSEP,1,22
2271,2271,C,SANT JOSEP DE CALASSANÇ,SANT JOSEP CALASSANÇ,1,158
2272,2272,BARRI,SANT JOSEP,SANT JOSEP,1,9
2273,2273,AV,SANT JULIA,SANT JULIA,1,266
2274,2274,C,SANT MARC,SANT MARC,1,59
2276,2276,ZONA,SANT NICOLAU,SANT NICOLAU,1,2
2277,2277,C,SANT PLACID,SANT PLACID,1,33
2278,2278,C,SANT ROC,SANT ROC,1,23
2280,2280,C,SANTA ANNA,SANTA ANNA,1,25
2281,2281,C,SANTA APOL.LONIA,SANTA APOL.LONIA,1,10
2283,2283,C,SANTA ESPERANÇA,SANTA ESPERANÇA,1,17
2284,2284,C,SANTIAGO RUSINYOL,SANTIAGO RUSINYOL,1,15
2285,2285,C,SARDANA,SARDANA,2,37
2286,2286,C,SASTRE,SASTRE,1,9
2287,2287,PL,JOSEP SERRAT I BONASTRE,SERRAT I BONASTRE,3,21
2289,2289,C,SEVERO OCHOA,SEVERO OCHOA,7,103
2290,2290,C,SOL,SOL,7,79
2291,2291,C,TAGAMANENT,TAGAMANENT,1,23
2292,2292,C,FRANCESC TARAFA,FRANCESC TARAFA,1,133
2293,2293,TRAV,FRANCESC TARAFA,FRANCESC TARAFA,0,0
2294,2294,C,TARRAGONA,TARRAGONA,2,23
2295,2295,C,TEATRE,TEATRE,1,9
2296,2296,C,TERRASSA,TERRASSA,1,9
2297,2297,C,TETUAN,TETUAN,1,122
2299,2299,PL,JOSEP TORRAS I BAGES,JOSEP TORRAS I BAGES,1,4
2300,2300,C,JOSEP TORRAS I BAGES,JOSEP TORRAS I BAGES,1,87
2301,2301,BARRI,TORRE DE LES AIGUES,TORRE DE LES AIGUES,0,0
2302,2302,BARRI,TORRES,TORRES,2,12
2306,2306,C,TRAVESSERES,TRAVESSERES,1,48
2313,2313,C,VALENCIA,VALENCIA,1,54
2314,2314,C,VALLES,VALLES,2,113
2315,2315,C,VALLESPIR,VALLESPIR,2,16
2316,2316,C,DIEGO RODRIGO VELAZQUEZ,DIEGO RODRIGO VELAZQUEZ,6,64
2317,2317,C,VENEÇUELA,VENEÇUELA,12,95
2319,2319,C,VIC,VIC,1,30
2320,2320,C,PALAUTORDERA,PALAUTORDERA,1,31
2323,2323,C,XILE,XILE,1,14
2325,2325,C,JOSE ZORRILLA,JOSE ZORRILLA,2,20
2327,2327,.,CA L'USEL NOU,CA L'USEL NOU,0,0
2330,2330,TRVA,LLEDONER,LLEDONER,1,9
2338,2338,C,AGUSTI VINYAMATA,AGUSTI VINYAMATA,1,90
2339,2339,C,ISAAC ALBENIZ,ISAAC ALBENIZ,1,40
2342,2342,C,BARTOMEU BRUFALT,BARTOMEU BRUFALT,1,47
2343,2343,.,MAS BLANC,MAS BLANC,0,0
2347,2347,C,ORIENT,ORIENT,1,33
2348,2348,AV,PARC,PARC,1,11
2349,2349,C,PERE EL GRAN,PERE EL GRAN,1,14
2350,2350,C,SANTA ELISABETH,SANTA ELISABETH,1,19
2352,2352,C,URUGUAI,URUGUAI,1,40
2358,2358,C,JOAN VIDAL I JUMBERT,JOAN VIDAL I JUMBERT,1,36
2359,2359,C,UNIO,UNIO,1,18
2360,2360,C,TORRETA,TORRETA,1,79
2361,2361,PTGE,TORRETA,TORRETA,1,28
2362,2362,C,SANT TOMAS D'AQUINO,SANT TOMAS D'AQUINO,1,3
2363,2363,CTRA,MASNOU,MASNOU,0,311
2364,2364,C,PIUS XII,PIUS XII,1,11
2365,2365,PL,SANT TOMAS D'AQUINO,SANT TOMAS D'AQUINO,0,0
2368,2368,PL,ESGLESIA,ESGLESIA,1,12
2369,2369,PL,JOSEP M. FOLCH I TORRES,J. M. FOLCH I TORRES,12,16
2370,2370,PL,MANUEL MONTANYA,MANUEL MONTANYA,1,5
2371,2371,C,SANT CRISTOFOL,SANT CRISTOFOL,1,41
2372,2372,PG,JOANOT MARTORELL,JOANOT MARTORELL,1,3
2374,2374,CTRA,C-17,C-17,0,0
2376,2376,C,SABADELL,SABADELL,2,19
2377,2377,C,PAU CARBO,PAU CARBO,38,47
2379,2379,C,JULIAN REY PASTOR,JULIO REY PASTOR,0,0
2380,2380,C,MAS CARRENCA,MAS CARRENCA,0,0
2382,2382,C,TRIOMF,TRIOMF,8,8
2383,2383,C,MARIA ANNA MOGAS,MARIA ANNA MOGAS,2,2
2384,2384,C,PIRINEUS,PIRINEUS,1,19
2385,2385,C,BRASIL,BRASIL,1,110
2386,2386,TRVA,MUNTANYA,MUNTANYA,0,0
2387,2387,C,PERU,PERU,2,8
2388,2388,JDIN,MARIA CORBERA,MARIA CORBERA,0,0
2394,2394,C,URGELL,URGELL,1,7
2395,2395,C,PLA DE BAIX,PLA DE BAIX,6,61
2396,2396,PL,ALFRED CANAL,ALFRED CANAL,2,26
2397,2397,C,ARBECA,ARBECA,1,5
2399,2399,C,VICENÇ ALBARRANCH,VICENÇ ALBARRANCH,1,75
2400,2400,RBLA,JOSEP TARRADELLAS,JOSEP TARRADELLAS,1,8
2401,2401,C,GREGORI RESINA,GREGORI RESINA,1,6
2403,2403,PTGE,MINETES,MINETES,5,5
2404,2404,PL,AMADEU CASTELLANO,AMADEU CASTELLANO,1,3
2405,2405,PL,HORTES (LES),HORTES (LES),1,5
2406,2406,.,CAL PEPITO ROQUETA,CAL PEPITO ROQUETA,0,0
2407,2407,PL,ONZE DE SETEMBRE,ONZE DE SETEMBRE,7,13
2408,2408,.,PLANTADA NOU,PLANTADA NOU,0,0
2410,2410,.,GRANJA GINESTA,GRANJA GINESTA,0,0
2411,2411,TRAV,HOSPITAL,HOSPITAL,2,8
2412,2412,C,VOLUNTARIS 92,VOLUNTARIS 92,1,15
2413,2413,PRAGE,COLL DE PUIG D'OLIVELLA,COLL DE PUIG D'OLIVELLA,0,0
2414,2414,BARRI,SANT JULIA,SANT JULIA,0,7
2415,2415,C,HERMENEGILD CARRERA,HERMENEGILD CARRERA,1,4
2416,2416,JDIN,CONRAD SALO,CONRAD SALO,1,7
2417,2417,C,JOAN VILA AYATS,JOAN VILA AYATS,1,8
2418,2418,.,CAN BASSA,CAN BASSA,0,0
2419,2419,.,CAN FELICIANO,CAN FELICIANO,0,0
2421,2421,.,CAN CLIMENT,CAN CLIMENT,0,0
2422,2422,.,CAN MALLA,CAN MALLA,0,0
2423,2423,C,JULI GONZALEZ,JULI GONZALEZ,2,4
2425,2425,PL,SANT MIQUEL,SANT MIQUEL,0,0
2426,2426,.,CAN PRAT,CAN PRAT,0,0
2427,2427,.,CA L'ESQUELLA,CA L'ESQUELLA,0,0
2428,2428,C,BARTOMEU SERRET I ARGEMI,SERRET I ARGEMI,1,57
2429,2429,.,CAN ROSCA,CAN ROSCA,0,0
2431,2431,C,TURO D'EN BRUGUET,TURO D'EN BRUGUET,2,2
2432,2432,CAMI,LLIÇA,LLIÇA,0,0
2433,2433,C,CINGLES DE BERTI,CINGLES DE BERTI,1,23
2435,2435,C,LONDRES,LONDRES,1,53
2436,2436,CAMI,TERRA ALTA,TERRA ALTA,0,0
2437,2437,.,CAN RIERA,CAN RIERA,0,0
2438,2438,C,LOUIS PASTEUR,LOUIS PASTEUR,3,5
2439,2439,CDOR,SANTA ESPERANÇA,SANTA ESPERANÇA,0,0
2440,2440,PG,MARIANO ALVAREZ DE CASTRO,ALVAREZ DE CASTRO,1,20
2441,2441,C,PAU GARGALLO,PAU GARGALLO,1,17
