DATA,ANY,TIPUS ELECCIONS,MESA ELECTORAL,CENS,NOMBRE VOTS TOTAL,NOM PARTIT,PARTIT,NOMBRE VOTS
22/05/2011,2011,Municipals,01-03 A,587,332,Convergència i Unió,CiU,76
22/05/2011,2011,Municipals,01-03 A,587,332,Partit Popular,PP,31
22/05/2011,2011,Municipals,01-03 A,587,332,Ciutadans - Partit de la Ciutadania,C's,2
22/05/2011,2011,Municipals,01-03 A,587,332,Som! Granollers,SOM,5
22/05/2011,2011,Municipals,01-03 A,587,332,Plataforma per Catalunya,PxC,6
22/05/2011,2011,Municipals,01-03 A,587,332,Vots en blanc,BLANCS,14
22/05/2011,2011,Municipals,01-03 A,587,332,Vots nuls,NULS,6
22/05/2011,2011,Municipals,01-03 B,748,426,Partit Socialistes Catalunya - Progrés Municipal,PSC-PM,175
22/05/2011,2011,Municipals,01-03 B,748,426,Iniciativa per Catalunya Verds - EUiA - Entesa,ICV-EUiA-E,27
22/05/2011,2011,Municipals,01-03 B,748,426,Solidaritat catalana per la Independència,SI,9
22/05/2011,2011,Municipals,01-03 B,748,426,Acció Granollers - Esquerra - Reagrupament - GI-AM,AG,32
22/05/2011,2011,Municipals,01-03 B,748,426,"Partit ""Família i Vida""",PFiV,0
22/05/2011,2011,Municipals,01-03 B,748,426,Convergència i Unió,CiU,115
22/05/2011,2011,Municipals,01-03 B,748,426,Partit Popular,PP,36
22/05/2011,2011,Municipals,01-03 B,748,426,Ciutadans - Partit de la Ciutadania,C's,5
22/05/2011,2011,Municipals,01-03 B,748,426,Som! Granollers,SOM,5
22/05/2011,2011,Municipals,01-03 B,748,426,Plataforma per Catalunya,PxC,4
22/05/2011,2011,Municipals,01-03 B,748,426,Vots en blanc,BLANCS,9
22/05/2011,2011,Municipals,01-03 B,748,426,Vots nuls,NULS,9
22/05/2011,2011,Municipals,01-04 U,440,224,Partit Socialistes Catalunya - Progrés Municipal,PSC-PM,101
22/05/2011,2011,Municipals,01-04 U,440,224,Iniciativa per Catalunya Verds - EUiA - Entesa,ICV-EUiA-E,8
22/05/2011,2011,Municipals,01-04 U,440,224,Solidaritat catalana per la Independència,SI,2
22/05/2011,2011,Municipals,01-04 U,440,224,Acció Granollers - Esquerra - Reagrupament - GI-AM,AG,17
22/05/2011,2011,Municipals,01-04 U,440,224,"Partit ""Família i Vida""",PFiV,0
22/05/2011,2011,Municipals,01-04 U,440,224,Convergència i Unió,CiU,60
22/05/2011,2011,Municipals,01-04 U,440,224,Partit Popular,PP,19
22/05/2011,2011,Municipals,01-04 U,440,224,Ciutadans - Partit de la Ciutadania,C's,2
22/05/2011,2011,Municipals,01-04 U,440,224,Som! Granollers,SOM,3
22/05/2011,2011,Municipals,01-04 U,440,224,Plataforma per Catalunya,PxC,2
22/05/2011,2011,Municipals,01-04 U,440,224,Vots en blanc,BLANCS,7
22/05/2011,2011,Municipals,01-04 U,440,224,Vots nuls,NULS,3
22/05/2011,2011,Municipals,01-05 A,432,254,Partit Socialistes Catalunya - Progrés Municipal,PSC-PM,93
22/05/2011,2011,Municipals,01-05 A,432,254,Iniciativa per Catalunya Verds - EUiA - Entesa,ICV-EUiA-E,13
22/05/2011,2011,Municipals,01-05 A,432,254,Solidaritat catalana per la Independència,SI,6
22/05/2011,2011,Municipals,01-05 A,432,254,Acció Granollers - Esquerra - Reagrupament - GI-AM,AG,18
22/05/2011,2011,Municipals,01-05 A,432,254,"Partit ""Família i Vida""",PFiV,0
22/05/2011,2011,Municipals,01-05 A,432,254,Convergència i Unió,CiU,73
22/05/2011,2011,Municipals,01-05 A,432,254,Partit Popular,PP,26
22/05/2011,2011,Municipals,01-05 A,432,254,Ciutadans - Partit de la Ciutadania,C's,3
22/05/2011,2011,Municipals,01-05 A,432,254,Som! Granollers,SOM,9
22/05/2011,2011,Municipals,01-05 A,432,254,Plataforma per Catalunya,PxC,2
22/05/2011,2011,Municipals,01-05 A,432,254,Vots en blanc,BLANCS,11
22/05/2011,2011,Municipals,01-05 A,432,254,Vots nuls,NULS,0
22/05/2011,2011,Municipals,01-05 B,492,271,Partit Socialistes Catalunya - Progrés Municipal,PSC-PM,107
22/05/2011,2011,Municipals,01-05 B,492,271,Iniciativa per Catalunya Verds - EUiA - Entesa,ICV-EUiA-E,13
22/05/2011,2011,Municipals,01-05 B,492,271,Solidaritat catalana per la Independència,SI,12
22/05/2011,2011,Municipals,01-05 B,492,271,Acció Granollers - Esquerra - Reagrupament - GI-AM,AG,10
22/05/2011,2011,Municipals,01-05 B,492,271,"Partit ""Família i Vida""",PFiV,1
22/05/2011,2011,Municipals,01-05 B,492,271,Convergència i Unió,CiU,68
22/05/2011,2011,Municipals,01-05 B,492,271,Partit Popular,PP,25
22/05/2011,2011,Municipals,01-05 B,492,271,Ciutadans - Partit de la Ciutadania,C's,3
22/05/2011,2011,Municipals,01-05 B,492,271,Som! Granollers,SOM,6
22/05/2011,2011,Municipals,01-05 B,492,271,Plataforma per Catalunya,PxC,5
22/05/2011,2011,Municipals,01-05 B,492,271,Vots en blanc,BLANCS,14
22/05/2011,2011,Municipals,01-05 B,492,271,Vots nuls,NULS,7
22/05/2011,2011,Municipals,01-05 C,478,293,Partit Socialistes Catalunya - Progrés Municipal,PSC-PM,109
22/05/2011,2011,Municipals,01-05 C,478,293,Iniciativa per Catalunya Verds - EUiA - Entesa,ICV-EUiA-E,13
22/05/2011,2011,Municipals,01-05 C,478,293,Solidaritat catalana per la Independència,SI,11
22/05/2011,2011,Municipals,01-05 C,478,293,Acció Granollers - Esquerra - Reagrupament - GI-AM,AG,20
22/05/2011,2011,Municipals,01-05 C,478,293,"Partit ""Família i Vida""",PFiV,1
22/05/2011,2011,Municipals,01-05 C,478,293,Convergència i Unió,CiU,74
22/05/2011,2011,Municipals,01-05 C,478,293,Partit Popular,PP,35
22/05/2011,2011,Municipals,01-05 C,478,293,Ciutadans - Partit de la Ciutadania,C's,3
22/05/2011,2011,Municipals,01-05 C,478,293,Som! Granollers,SOM,3
22/05/2011,2011,Municipals,01-05 C,478,293,Plataforma per Catalunya,PxC,4
22/05/2011,2011,Municipals,01-05 C,478,293,Vots en blanc,BLANCS,16
22/05/2011,2011,Municipals,01-05 C,478,293,Vots nuls,NULS,4
22/05/2011,2011,Municipals,01-06 U,783,413,Partit Socialistes Catalunya - Progrés Municipal,PSC-PM,222
22/05/2011,2011,Municipals,01-06 U,783,413,Iniciativa per Catalunya Verds - EUiA - Entesa,ICV-EUiA-E,6
22/05/2011,2011,Municipals,01-06 U,783,413,Solidaritat catalana per la Independència,SI,2
22/05/2011,2011,Municipals,01-06 U,783,413,Acció Granollers - Esquerra - Reagrupament - GI-AM,AG,15
22/05/2011,2011,Municipals,01-06 U,783,413,"Partit ""Família i Vida""",PFiV,0
22/05/2011,2011,Municipals,01-06 U,783,413,Convergència i Unió,CiU,47
22/05/2011,2011,Municipals,01-06 U,783,413,Partit Popular,PP,56
22/05/2011,2011,Municipals,01-06 U,783,413,Ciutadans - Partit de la Ciutadania,C's,2
22/05/2011,2011,Municipals,01-06 U,783,413,Som! Granollers,SOM,31
22/05/2011,2011,Municipals,01-06 U,783,413,Plataforma per Catalunya,PxC,8
22/05/2011,2011,Municipals,01-06 U,783,413,Vots en blanc,BLANCS,15
22/05/2011,2011,Municipals,01-06 U,783,413,Vots nuls,NULS,9
22/05/2011,2011,Municipals,01-07 A,521,299,Partit Socialistes Catalunya - Progrés Municipal,PSC-PM,126
22/05/2011,2011,Municipals,01-07 A,521,299,Iniciativa per Catalunya Verds - EUiA - Entesa,ICV-EUiA-E,14
22/05/2011,2011,Municipals,01-07 A,521,299,Solidaritat catalana per la Independència,SI,6
22/05/2011,2011,Municipals,01-07 A,521,299,Acció Granollers - Esquerra - Reagrupament - GI-AM,AG,19
22/05/2011,2011,Municipals,01-07 A,521,299,"Partit ""Família i Vida""",PFiV,2
22/05/2011,2011,Municipals,01-07 A,521,299,Convergència i Unió,CiU,65
22/05/2011,2011,Municipals,01-07 A,521,299,Partit Popular,PP,29
22/05/2011,2011,Municipals,01-07 A,521,299,Ciutadans - Partit de la Ciutadania,C's,3
22/05/2011,2011,Municipals,01-07 A,521,299,Som! Granollers,SOM,2
22/05/2011,2011,Municipals,01-07 A,521,299,Plataforma per Catalunya,PxC,7
22/05/2011,2011,Municipals,01-07 A,521,299,Vots en blanc,BLANCS,17
22/05/2011,2011,Municipals,01-07 A,521,299,Vots nuls,NULS,9
22/05/2011,2011,Municipals,01-07 B,676,406,Partit Socialistes Catalunya - Progrés Municipal,PSC-PM,198
22/05/2011,2011,Municipals,01-07 B,676,406,Iniciativa per Catalunya Verds - EUiA - Entesa,ICV-EUiA-E,35
22/05/2011,2011,Municipals,01-07 B,676,406,Solidaritat catalana per la Independència,SI,11
22/05/2011,2011,Municipals,01-07 B,676,406,Acció Granollers - Esquerra - Reagrupament - GI-AM,AG,36
22/05/2011,2011,Municipals,01-07 B,676,406,"Partit ""Família i Vida""",PFiV,2
22/05/2011,2011,Municipals,01-07 B,676,406,Convergència i Unió,CiU,59
22/05/2011,2011,Municipals,01-07 B,676,406,Partit Popular,PP,22
22/05/2011,2011,Municipals,01-07 B,676,406,Ciutadans - Partit de la Ciutadania,C's,5
22/05/2011,2011,Municipals,01-07 B,676,406,Som! Granollers,SOM,3
22/05/2011,2011,Municipals,01-07 B,676,406,Plataforma per Catalunya,PxC,10
22/05/2011,2011,Municipals,01-07 B,676,406,Vots en blanc,BLANCS,12
22/05/2011,2011,Municipals,01-07 B,676,406,Vots nuls,NULS,13
22/05/2011,2011,Municipals,01-08 U,495,216,Partit Socialistes Catalunya - Progrés Municipal,PSC-PM,102
22/05/2011,2011,Municipals,01-08 U,495,216,Iniciativa per Catalunya Verds - EUiA - Entesa,ICV-EUiA-E,9
22/05/2011,2011,Municipals,01-08 U,495,216,Solidaritat catalana per la Independència,SI,0
22/05/2011,2011,Municipals,01-08 U,495,216,Acció Granollers - Esquerra - Reagrupament - GI-AM,AG,10
22/05/2011,2011,Municipals,01-08 U,495,216,"Partit ""Família i Vida""",PFiV,2
22/05/2011,2011,Municipals,01-08 U,495,216,Convergència i Unió,CiU,43
22/05/2011,2011,Municipals,01-08 U,495,216,Partit Popular,PP,29
22/05/2011,2011,Municipals,01-08 U,495,216,Ciutadans - Partit de la Ciutadania,C's,2
22/05/2011,2011,Municipals,01-08 U,495,216,Som! Granollers,SOM,2
22/05/2011,2011,Municipals,01-08 U,495,216,Plataforma per Catalunya,PxC,8
22/05/2011,2011,Municipals,01-08 U,495,216,Vots en blanc,BLANCS,8
22/05/2011,2011,Municipals,01-08 U,495,216,Vots nuls,NULS,1
22/05/2011,2011,Municipals,01-09 U,827,379,Partit Socialistes Catalunya - Progrés Municipal,PSC-PM,207
22/05/2011,2011,Municipals,01-09 U,827,379,Iniciativa per Catalunya Verds - EUiA - Entesa,ICV-EUiA-E,29
22/05/2011,2011,Municipals,01-09 U,827,379,Solidaritat catalana per la Independència,SI,1
22/05/2011,2011,Municipals,01-09 U,827,379,Acció Granollers - Esquerra - Reagrupament - GI-AM,AG,1
22/05/2011,2011,Municipals,01-09 U,827,379,"Partit ""Família i Vida""",PFiV,0
22/05/2011,2011,Municipals,01-09 U,827,379,Convergència i Unió,CiU,42
22/05/2011,2011,Municipals,01-09 U,827,379,Partit Popular,PP,74
22/05/2011,2011,Municipals,01-09 U,827,379,Ciutadans - Partit de la Ciutadania,C's,3
22/05/2011,2011,Municipals,01-09 U,827,379,Som! Granollers,SOM,2
22/05/2011,2011,Municipals,01-09 U,827,379,Plataforma per Catalunya,PxC,11
22/05/2011,2011,Municipals,01-09 U,827,379,Vots en blanc,BLANCS,5
22/05/2011,2011,Municipals,01-09 U,827,379,Vots nuls,NULS,4
22/05/2011,2011,Municipals,01-10 A,503,246,Partit Socialistes Catalunya - Progrés Municipal,PSC-PM,134
22/05/2011,2011,Municipals,01-10 A,503,246,Iniciativa per Catalunya Verds - EUiA - Entesa,ICV-EUiA-E,18
22/05/2011,2011,Municipals,01-10 A,503,246,Solidaritat catalana per la Independència,SI,1
22/05/2011,2011,Municipals,01-10 A,503,246,Acció Granollers - Esquerra - Reagrupament - GI-AM,AG,3
22/05/2011,2011,Municipals,01-10 A,503,246,"Partit ""Família i Vida""",PFiV,0
22/05/2011,2011,Municipals,01-10 A,503,246,Convergència i Unió,CiU,20
22/05/2011,2011,Municipals,01-10 A,503,246,Partit Popular,PP,30
22/05/2011,2011,Municipals,01-10 A,503,246,Ciutadans - Partit de la Ciutadania,C's,9
22/05/2011,2011,Municipals,01-10 A,503,246,Som! Granollers,SOM,4
22/05/2011,2011,Municipals,01-10 A,503,246,Plataforma per Catalunya,PxC,5
22/05/2011,2011,Municipals,01-10 A,503,246,Vots en blanc,BLANCS,12
22/05/2011,2011,Municipals,01-10 A,503,246,Vots nuls,NULS,10
22/05/2011,2011,Municipals,01-10 B,624,302,Partit Socialistes Catalunya - Progrés Municipal,PSC-PM,134
22/05/2011,2011,Municipals,01-10 B,624,302,Iniciativa per Catalunya Verds - EUiA - Entesa,ICV-EUiA-E,30
22/05/2011,2011,Municipals,01-10 B,624,302,Solidaritat catalana per la Independència,SI,1
22/05/2011,2011,Municipals,01-10 B,624,302,Acció Granollers - Esquerra - Reagrupament - GI-AM,AG,11
22/05/2011,2011,Municipals,01-10 B,624,302,"Partit ""Família i Vida""",PFiV,0
22/05/2011,2011,Municipals,01-10 B,624,302,Convergència i Unió,CiU,31
22/05/2011,2011,Municipals,01-10 B,624,302,Partit Popular,PP,65
22/05/2011,2011,Municipals,01-10 B,624,302,Ciutadans - Partit de la Ciutadania,C's,8
22/05/2011,2011,Municipals,01-10 B,624,302,Som! Granollers,SOM,1
22/05/2011,2011,Municipals,01-10 B,624,302,Plataforma per Catalunya,PxC,8
22/05/2011,2011,Municipals,01-10 B,624,302,Vots en blanc,BLANCS,9
22/05/2011,2011,Municipals,01-10 B,624,302,Vots nuls,NULS,4
22/05/2011,2011,Municipals,01-11 A,575,287,Partit Socialistes Catalunya - Progrés Municipal,PSC-PM,158
22/05/2011,2011,Municipals,01-11 A,575,287,Iniciativa per Catalunya Verds - EUiA - Entesa,ICV-EUiA-E,14
22/05/2011,2011,Municipals,01-11 A,575,287,Solidaritat catalana per la Independència,SI,1
22/05/2011,2011,Municipals,01-11 A,575,287,Acció Granollers - Esquerra - Reagrupament - GI-AM,AG,9
22/05/2011,2011,Municipals,01-11 A,575,287,"Partit ""Família i Vida""",PFiV,0
22/05/2011,2011,Municipals,01-11 A,575,287,Convergència i Unió,CiU,36
22/05/2011,2011,Municipals,01-11 A,575,287,Partit Popular,PP,38
22/05/2011,2011,Municipals,01-11 A,575,287,Ciutadans - Partit de la Ciutadania,C's,1
22/05/2011,2011,Municipals,01-11 A,575,287,Som! Granollers,SOM,2
22/05/2011,2011,Municipals,01-11 A,575,287,Plataforma per Catalunya,PxC,10
22/05/2011,2011,Municipals,01-11 A,575,287,Vots en blanc,BLANCS,12
22/05/2011,2011,Municipals,01-11 A,575,287,Vots nuls,NULS,6
22/05/2011,2011,Municipals,01-11 B,607,292,Partit Socialistes Catalunya - Progrés Municipal,PSC-PM,143
22/05/2011,2011,Municipals,01-11 B,607,292,Iniciativa per Catalunya Verds - EUiA - Entesa,ICV-EUiA-E,22
22/05/2011,2011,Municipals,01-11 B,607,292,Solidaritat catalana per la Independència,SI,0
22/05/2011,2011,Municipals,01-11 B,607,292,Acció Granollers - Esquerra - Reagrupament - GI-AM,AG,12
22/05/2011,2011,Municipals,01-11 B,607,292,"Partit ""Família i Vida""",PFiV,0
22/05/2011,2011,Municipals,01-11 B,607,292,Convergència i Unió,CiU,50
22/05/2011,2011,Municipals,01-11 B,607,292,Partit Popular,PP,37
22/05/2011,2011,Municipals,01-11 B,607,292,Ciutadans - Partit de la Ciutadania,C's,6
22/05/2011,2011,Municipals,01-11 B,607,292,Som! Granollers,SOM,3
22/05/2011,2011,Municipals,01-11 B,607,292,Plataforma per Catalunya,PxC,3
22/05/2011,2011,Municipals,01-11 B,607,292,Vots en blanc,BLANCS,10
22/05/2011,2011,Municipals,01-11 B,607,292,Vots nuls,NULS,6
22/05/2011,2011,Municipals,02-01 A,611,353,Partit Socialistes Catalunya - Progrés Municipal,PSC-PM,122
22/05/2011,2011,Municipals,02-01 A,611,353,Iniciativa per Catalunya Verds - EUiA - Entesa,ICV-EUiA-E,14
22/05/2011,2011,Municipals,02-01 A,611,353,Solidaritat catalana per la Independència,SI,7
22/05/2011,2011,Municipals,02-01 A,611,353,Acció Granollers - Esquerra - Reagrupament - GI-AM,AG,31
22/05/2011,2011,Municipals,02-01 A,611,353,"Partit ""Família i Vida""",PFiV,0
22/05/2011,2011,Municipals,02-01 A,611,353,Convergència i Unió,CiU,103
22/05/2011,2011,Municipals,02-01 A,611,353,Partit Popular,PP,43
22/05/2011,2011,Municipals,02-01 A,611,353,Ciutadans - Partit de la Ciutadania,C's,3
22/05/2011,2011,Municipals,02-01 A,611,353,Som! Granollers,SOM,2
22/05/2011,2011,Municipals,02-01 A,611,353,Plataforma per Catalunya,PxC,2
22/05/2011,2011,Municipals,02-01 A,611,353,Vots en blanc,BLANCS,19
22/05/2011,2011,Municipals,02-01 A,611,353,Vots nuls,NULS,7
22/05/2011,2011,Municipals,02-01 B,706,400,Partit Socialistes Catalunya - Progrés Municipal,PSC-PM,144
22/05/2011,2011,Municipals,02-01 B,706,400,Iniciativa per Catalunya Verds - EUiA - Entesa,ICV-EUiA-E,18
22/05/2011,2011,Municipals,02-01 B,706,400,Solidaritat catalana per la Independència,SI,9
22/05/2011,2011,Municipals,02-01 B,706,400,Acció Granollers - Esquerra - Reagrupament - GI-AM,AG,26
22/05/2011,2011,Municipals,02-01 B,706,400,"Partit ""Família i Vida""",PFiV,1
22/05/2011,2011,Municipals,02-01 B,706,400,Convergència i Unió,CiU,111
22/05/2011,2011,Municipals,02-01 B,706,400,Partit Popular,PP,52
22/05/2011,2011,Municipals,02-01 B,706,400,Ciutadans - Partit de la Ciutadania,C's,1
22/05/2011,2011,Municipals,02-01 B,706,400,Som! Granollers,SOM,3
22/05/2011,2011,Municipals,02-01 B,706,400,Plataforma per Catalunya,PxC,4
22/05/2011,2011,Municipals,02-01 B,706,400,Vots en blanc,BLANCS,22
22/05/2011,2011,Municipals,02-01 B,706,400,Vots nuls,NULS,9
22/05/2011,2011,Municipals,02-02 U,441,273,Partit Socialistes Catalunya - Progrés Municipal,PSC-PM,61
22/05/2011,2011,Municipals,02-02 U,441,273,Iniciativa per Catalunya Verds - EUiA - Entesa,ICV-EUiA-E,14
22/05/2011,2011,Municipals,02-02 U,441,273,Solidaritat catalana per la Independència,SI,12
22/05/2011,2011,Municipals,02-02 U,441,273,Acció Granollers - Esquerra - Reagrupament - GI-AM,AG,21
22/05/2011,2011,Municipals,02-02 U,441,273,"Partit ""Família i Vida""",PFiV,0
22/05/2011,2011,Municipals,02-02 U,441,273,Convergència i Unió,CiU,117
22/05/2011,2011,Municipals,02-02 U,441,273,Partit Popular,PP,17
22/05/2011,2011,Municipals,02-02 U,441,273,Ciutadans - Partit de la Ciutadania,C's,2
22/05/2011,2011,Municipals,02-02 U,441,273,Som! Granollers,SOM,2
22/05/2011,2011,Municipals,02-02 U,441,273,Plataforma per Catalunya,PxC,1
22/05/2011,2011,Municipals,02-02 U,441,273,Vots en blanc,BLANCS,20
22/05/2011,2011,Municipals,02-02 U,441,273,Vots nuls,NULS,6
22/05/2011,2011,Municipals,02-03 U,502,303,Partit Socialistes Catalunya - Progrés Municipal,PSC-PM,111
22/05/2011,2011,Municipals,02-03 U,502,303,Iniciativa per Catalunya Verds - EUiA - Entesa,ICV-EUiA-E,10
22/05/2011,2011,Municipals,02-03 U,502,303,Solidaritat catalana per la Independència,SI,13
22/05/2011,2011,Municipals,02-03 U,502,303,Acció Granollers - Esquerra - Reagrupament - GI-AM,AG,26
22/05/2011,2011,Municipals,02-03 U,502,303,"Partit ""Família i Vida""",PFiV,1
22/05/2011,2011,Municipals,02-03 U,502,303,Convergència i Unió,CiU,92
22/05/2011,2011,Municipals,02-03 U,502,303,Partit Popular,PP,24
22/05/2011,2011,Municipals,02-03 U,502,303,Ciutadans - Partit de la Ciutadania,C's,0
22/05/2011,2011,Municipals,02-03 U,502,303,Som! Granollers,SOM,1
22/05/2011,2011,Municipals,02-03 U,502,303,Plataforma per Catalunya,PxC,7
22/05/2011,2011,Municipals,02-03 U,502,303,Vots en blanc,BLANCS,9
22/05/2011,2011,Municipals,02-03 U,502,303,Vots nuls,NULS,9
22/05/2011,2011,Municipals,02-04 A,530,260,Partit Socialistes Catalunya - Progrés Municipal,PSC-PM,101
22/05/2011,2011,Municipals,02-04 A,530,260,Iniciativa per Catalunya Verds - EUiA - Entesa,ICV-EUiA-E,16
22/05/2011,2011,Municipals,02-04 A,530,260,Solidaritat catalana per la Independència,SI,9
22/05/2011,2011,Municipals,02-04 A,530,260,Acció Granollers - Esquerra - Reagrupament - GI-AM,AG,17
22/05/2011,2011,Municipals,02-04 A,530,260,"Partit ""Família i Vida""",PFiV,0
22/05/2011,2011,Municipals,02-04 A,530,260,Convergència i Unió,CiU,51
22/05/2011,2011,Municipals,02-04 A,530,260,Partit Popular,PP,37
22/05/2011,2011,Municipals,02-04 A,530,260,Ciutadans - Partit de la Ciutadania,C's,7
22/05/2011,2011,Municipals,02-04 A,530,260,Som! Granollers,SOM,3
22/05/2011,2011,Municipals,02-04 A,530,260,Plataforma per Catalunya,PxC,4
22/05/2011,2011,Municipals,02-04 A,530,260,Vots en blanc,BLANCS,11
22/05/2011,2011,Municipals,02-04 A,530,260,Vots nuls,NULS,4
22/05/2011,2011,Municipals,02-04 B,641,304,Partit Socialistes Catalunya - Progrés Municipal,PSC-PM,137
22/05/2011,2011,Municipals,02-04 B,641,304,Iniciativa per Catalunya Verds - EUiA - Entesa,ICV-EUiA-E,20
22/05/2011,2011,Municipals,02-04 B,641,304,Solidaritat catalana per la Independència,SI,4
22/05/2011,2011,Municipals,02-04 B,641,304,Acció Granollers - Esquerra - Reagrupament - GI-AM,AG,16
22/05/2011,2011,Municipals,02-04 B,641,304,"Partit ""Família i Vida""",PFiV,0
22/05/2011,2011,Municipals,02-04 B,641,304,Convergència i Unió,CiU,53
22/05/2011,2011,Municipals,02-04 B,641,304,Partit Popular,PP,39
22/05/2011,2011,Municipals,02-04 B,641,304,Ciutadans - Partit de la Ciutadania,C's,7
22/05/2011,2011,Municipals,02-04 B,641,304,Som! Granollers,SOM,4
22/05/2011,2011,Municipals,02-04 B,641,304,Plataforma per Catalunya,PxC,14
22/05/2011,2011,Municipals,02-04 B,641,304,Vots en blanc,BLANCS,7
22/05/2011,2011,Municipals,02-04 B,641,304,Vots nuls,NULS,3
22/05/2011,2011,Municipals,02-04 C,596,272,Partit Socialistes Catalunya - Progrés Municipal,PSC-PM,123
22/05/2011,2011,Municipals,02-04 C,596,272,Iniciativa per Catalunya Verds - EUiA - Entesa,ICV-EUiA-E,17
22/05/2011,2011,Municipals,02-04 C,596,272,Solidaritat catalana per la Independència,SI,10
22/05/2011,2011,Municipals,02-04 C,596,272,Acció Granollers - Esquerra - Reagrupament - GI-AM,AG,17
22/05/2011,2011,Municipals,02-04 C,596,272,"Partit ""Família i Vida""",PFiV,1
22/05/2011,2011,Municipals,02-04 C,596,272,Convergència i Unió,CiU,47
22/05/2011,2011,Municipals,02-04 C,596,272,Partit Popular,PP,35
22/05/2011,2011,Municipals,02-04 C,596,272,Ciutadans - Partit de la Ciutadania,C's,7
22/05/2011,2011,Municipals,02-04 C,596,272,Som! Granollers,SOM,1
22/05/2011,2011,Municipals,02-04 C,596,272,Plataforma per Catalunya,PxC,2
