idtrafico,nombreincidencia,detalleincidencia,fechainicio,fechafin,calle,longitud,latitud,url
"19488","Calle cortada","PROHIBIDO ESTACIONAR, PARA OBRAS MEJORA DE INFRAESTRUCTURAS BÁSICAS DE LAS CALLES INDICADAS","15/05/2017 0:00:00","30/12/2017 0:00:00","C/. MELCHOR NAVARRO, C/. RIO JUCAR, RIO SEGRE, RIO SIL, C/. GREGORIO GARCÍA. Y RESERVA DE ESPACIO EN  C/. PORTIJICO, N  15 CON PROXIMIDADES PARA PASO MAQUINARIA DE OBRAS A SOLAR DE ACOPIO,EXP. 736/2017","-1.69784774907384","37.6829198227158","http://www.lorca.es/ficheros/File/trafico/detalle.asp?id=470&trafico=19488"
"20028","Calle cortada","OBRAS RENOVACIÓN URBANA, EMPRESA RESPONSABLE DEBE SEÑALIZAR SEGUN NORMATIVA VIGENTE.","09/10/2017 0:00:00","09/11/2017 0:00:00","ALAMEDA MENCHIRÓN, tramo entre AVda. Juan CArlos I y Entrada-salida Parking Menchirón,exp. (ABIERTA AVDA. JUAN CARLOS I, DESDE OVALO), 1424/2017","-1.6978128492126","37.6722299955285","http://www.lorca.es/ficheros/File/trafico/detalle.asp?id=470&trafico=20028"
"12355","Calle cortada","ENTRADA PROHIBIDA, EXCEPTO USUARIOS DE GARAJE POR C/. Corredera.","15/10/2012 0:00:00","31/12/2017 0:00:00","C/. JUAN II, EXP. 2118","-1.69755569748384","37.6766240022719","http://www.lorca.es/ficheros/File/trafico/detalle.asp?id=470&trafico=12355"
"19979","Calle cortada","PROHIBIDO ESTACIONAR POR OBRAS RENOVACIÓN URBANA. EMPRESA RESPONSABLE DEBE SEÑALIZAR SEGUN NORMATIVA VIGENTE.","25/09/2017 0:00:00","31/12/2017 0:00:00","CALLE PARALELA Y JUNTO ALAMEDA DE CERVANTES, LADO DERECHO SENTIDO AGUILAS, FRENTE A URBA. LA ISLA,EXP. 1376/2017","-1.69720927130277","37.6681871225368","http://www.lorca.es/ficheros/File/trafico/detalle.asp?id=470&trafico=19979"
"19408","Calle cortada","   CORTADO TRÁFICO RODADO, EXCEPTO PASO VEHÍCULOS DE EMERGENCIA Y PERSONAS A INMUEBLES PROHIBIDO ESTACIONAR,EN TODA LA CALLE SAN FERNANDO, Y C/. JUAN MINGUEZ Y EN C/. BEATRO PEDRO SOLER, prohibido estacionar, el aparcamiento en línea existente y aparcamiento en bateria, lado derecho sentido C/. San Fernando POR DESVIOS Y  POR OBRAS RENOVACIÓN URBANA (SISMO DE LORCA 2011), DIRECCIÓN  CENTRO CIUDAD Y CARAVACA- AUTOVÍA A-7, para vehículos procedentes de Rotonda Avda. Europa con Avda. Rafael Maroto o procedentes de Ctra. Caravaca, DESVIO POR C/. SAN FERNANDO.  A los peatones se aconseja precaución para  evitar accidentes.","24/04/2017 0:00:00","30/11/2017 0:00:00","C/. EULOGIO PERIAGO, tramo entre C/. Beato Pedro Soler-prohibido estacionar y C/. JUAN MINGUEZ- C/. SAN FERNANDO-(PROHIBIDO ESTACIONAR)- ARCOS DE REVERTE, Y PLAZA LA ESTRELLA, EXP. 558/2017   ","-1.69713369259034","37.6819887180627","http://www.lorca.es/ficheros/File/trafico/detalle.asp?id=470&trafico=19408"
"19877","Calle cortada","PROHIBIDO ESTACIONAR, LADO IZQUIERDO SENTIDO DE MARCHA, PARA DESVÍO - BYPASS, VEHICULOS SENTIDO AGUILAS, POR OBRAS RENOVACIÓN URBANA, empresa responble señaliza  según normativa  vigente","30/08/2017 0:00:00","31/12/2017 0:00:00","ALAMEDA CERVANTES, TRAMO entre Alameda Los Tristes y C/. Blas,  exp. 1273/2017","-1.69708588968808","37.6684249135327","http://www.lorca.es/ficheros/File/trafico/detalle.asp?id=470&trafico=19877"
"20022","Calle cortada","Prohibido Estacionar y Prohibido la Circulación por Obras Renovación Urbana. Horario Permanente. R.E.A. de señalización según normativa vigente.","09/10/2017 0:00:00","09/01/2018 0:00:00","C/ VICENTE ALEXANDRE (Tramo Alda. Cervantes- C/ Carlos M  Barberan)    Exp. 1419/17","-1.69697279381376","37.6673993840574","http://www.lorca.es/ficheros/File/trafico/detalle.asp?id=470&trafico=20022"
"20021","Calle cortada","OBRAS RENOVACIÓN URBANA, SISMOS 2011, empresa responsable debe señalizar según normativa vigente. ENTRADA Y SALIDA A GARAJE DE C/.EMILIO GARCIA Y C/. MURILLO POR LOPE GISBERT.","09/10/2017 0:00:00","30/10/2017 0:00:00","C/. EMILIO GARCIA NAVARRO CON INTERSECCIÓN AVDA. JUAN CARLOS I, EXP. 1417/2017","-1.69690014921264","37.6739780259516","http://www.lorca.es/ficheros/File/trafico/detalle.asp?id=470&trafico=20021"
"20057","Calle cortada","OBRAS RENOVACIÓN URBANA, EMPRESA RESPONSABLE DEBE SEÑALIZAR SEGÚN NORMATIVA VIGENTE, ACCESO A GARAJES TAXIS  POR C/. LOPE GISBERT y Emilio García Navarro, entrada y salida.","18/10/2017 0:00:00","31/10/2017 0:00:00","C/. PREBITERO EMILIO GARCIA NAVARRO INTERSECCION CON AVDA. JUAN CARLOS I,EXP. 1453/2017","-1.69682504736022","37.6739525502878","http://www.lorca.es/ficheros/File/trafico/detalle.asp?id=470&trafico=20057"
"19481","Calle cortada","PROHIBIDO ESTACIONAR CON MOTIVO DE OBRAS DE MEJORA INFRAESTRUCTURAS BÁSICAS, DESDE 11 MAYO 2017, EMPRESA RESPONABLE SEÑALIZA SEGÚN NORMATIVA VIGENTE: Sentido Colegios Públicos San Cristobal, Juan Gonzalez, Campo Futbol Alfonso Embarre y zona adyacentes, para vehículos procedentes de C/. Mayor y  Ortega Melgares: Por C/. Abellaneda, Camino Colegios Indicados, C/. Ramblilla San Tejares o viceversa. -Sentido Colegios indicados, campo futbol indicado y zona adyacentes, para vehículos procedentes de Ctra. Caravaca, por C/. San Fernando, Avda. Rafael Maroto, Rotonda Avda. Europa San Diego y a todas direcciones. Tambien hay 2º itinerario para vehículos hasta 6 metros de longitud por Ctra. Caravava, C/. Los Arcos, C/. Portijico, Mulero-hasta 5 metros LOngitud y Colegios indicados, EXCEPTO DEL 13 AL 31 JULIO  2017, POR DEMOLICIÓN DE INMUEBLE.","11/05/2017 0:00:00","30/11/2017 0:00:00","C/. ESCALANTE, DEL B  SAN CRISTOBAL, EXP. 731/2017","-1.69661319206546","37.6841334136019","http://www.lorca.es/ficheros/File/trafico/detalle.asp?id=470&trafico=19481"
