sector,puesto,funciones,horariolibre,tipo_contrato,duracion,otrascondiciones,salario,dialaboralde,carnet,vehiculo,experiencia,otrosrequisitos,annio,referencia,urloferta
"Docencia e Investigación","Profesor/a de inglés en academia","Impartir clases de inglés a alumnos de infantil, primaria, ESO y bachillerato","Tardes ","Eventual","Curso académico 2017-2018","Incorporación: Principios de octubre","Según convenio ","Lunes a Jueves (posibilidad de trabajar viernes por la tarde y/o sábados por la mañana)","SI","SI","SI","Preferentemente Lcdo/a. en Filología Inglesa, diplomado en Magisterio de Inglés, Graduado en Educación Primaria mención de especialidad de inglés o mínimo nivel C1 acreditado. ","17","205","http://www.concejaliadeempleo.lorca.es/oferta-demanda-empleo/detalle-oferta-empleo-privado.asp?idoferta=1277"
"Hostelería y Turismo","Camarero/a","Servicio de comedor y barra","","Obra y servicio","Temporal","","7 € hora","Sábados,  domingos y festivos","NO","NO","SI","Imprescindible experiencia en servicio de comedor y barra. Medio de transporte para desplazarse al lugar de trabajo.","17","199","http://www.concejaliadeempleo.lorca.es/oferta-demanda-empleo/detalle-oferta-empleo-privado.asp?idoferta=1279"
"Electricidad y Electrónica","electricista","electricista","","","inefinido","Se necesita electricista con experiencia, con conocimientos de algo de mecánica para montaje de puertas. empresa en plena expansión del sector  Abstenerse personas que no correspondan a este perfil, no responder.","1500","","SI","SI","SI","","17","196","http://www.concejaliadeempleo.lorca.es/oferta-demanda-empleo/detalle-oferta-empleo-privado.asp?idoferta=1272"
"Fabricación Mecánica","cerrajero","cerrajero","","regimen general","indefinido","Abstenerse personas que no corresponda a este perfil","1500","lunes a viernes","SI","SI","SI","Cerrajero con experiencia, serio y responsable.","17","195","http://www.concejaliadeempleo.lorca.es/oferta-demanda-empleo/detalle-oferta-empleo-privado.asp?idoferta=1273"
"Docencia e Investigación","Profesor de informática","Impartir clases para niños de primaria de informática, mecanografía e internet.","","por horas","9 meses","","7€/hora","de lunes a viernes","SI","SI","SI","","17","194","http://www.concejaliadeempleo.lorca.es/oferta-demanda-empleo/detalle-oferta-empleo-privado.asp?idoferta=1271"
"Docencia e Investigación","Profesor/a de física y química y matemáticas","Impartir clases en grupo y/o particulares a alumnos de ESO y bachillerato (matemáticas y física/quimica).","Tardes","Obra y servicio","curso académico 2017/2018","Medio de transporte para desplazarse al lugar de trabajo.","9 € por hora","De lunes a viernes","NO","NO","SI","Experiencia se valorará no es imprescindible, imprescindible titulación.","17","192","http://www.concejaliadeempleo.lorca.es/oferta-demanda-empleo/detalle-oferta-empleo-privado.asp?idoferta=1274"
"Fabricación Mecánica","Montador de Maquinaria","Montaje de maquinaria","40 HORAS","FIN DE OBRA","A DETERMINAR","Se valorarán conocimientos de mecánica de máquinas, Neumática, Soldadura. Obligatorio residir en Lorca o alrededores. Experiencia mínima de 2 años en mantenimiento. Se valorarán idiomas.","15000","LUNES A VIERNES","SI","SI","SI","FP O GRADO MEDIO EN ELECTRICIDAD","17","189","http://www.concejaliadeempleo.lorca.es/oferta-demanda-empleo/detalle-oferta-empleo-privado.asp?idoferta=1268"
"Docencia e Investigación","Nativo de inglés","Profesor de clase de inglés de primaria, ESO y bachiller y actividades extraescolares de inglés","","por horas","8 meses","","10€/hora","de lunes a jueves","SI","SI","SI","experiencia en clases con niños de primaria","17","187","http://www.concejaliadeempleo.lorca.es/oferta-demanda-empleo/detalle-oferta-empleo-privado.asp?idoferta=1266"
"Comercio y Marketing","DEPENDIENTE","ATENCION AL PUBLICO ORDENACION OPERACIONES DE VENTA INFORMACION AL PUBLICO","","INDEFINIDO","TIEMPO COMPLETO","","1036,14*12PAGAS","LUNES A VIERNES","SI","SI","NO","EXPERIENCIA EN ATENCION AL PUBLICO Y CONOCIMIENTOS,PRODUCTOS FERRETERIA","17","177","http://www.concejaliadeempleo.lorca.es/oferta-demanda-empleo/detalle-oferta-empleo-privado.asp?idoferta=1255"
"Administración y Gestión","ADMINISTRATIVO","LAS BASICAS EN LA ADMINISTRACION DE EMPRESA CONTABILIDAD","","tipo de contrato","duración","","1036 14*12PAGAS","DE LUNES A VIERNES","SI","SI","NO","","17","176","http://www.concejaliadeempleo.lorca.es/oferta-demanda-empleo/detalle-oferta-empleo-privado.asp?idoferta=1252"
"Industria","Mozo de almacen","Cargar y descargar mercancía.","","Indefinido","Jornada completa","","900 € x 14 pagas","Lunes a Viernes","SI","SI","SI","Carnet (ADR) mercancias peligrosas. carnet de carretillero.","17","170","http://www.concejaliadeempleo.lorca.es/oferta-demanda-empleo/detalle-oferta-empleo-privado.asp?idoferta=1246"
"Industria","Chofer camión","Reparto de clientes de la empresa por España y ayudante de almacen.","","Indefinido","Jornada completa","","900 € x 14 pagas","Lunes a Viernes","SI","SI","SI","Permiso de conducir camion (ADR), (CAP) mercancias peligrosas. Carnet de carretillero.","17","169","http://www.concejaliadeempleo.lorca.es/oferta-demanda-empleo/detalle-oferta-empleo-privado.asp?idoferta=1245"
"Comercio y Marketing","Comercial Nuevas Tecnologías","Desarrollo Funciones Comerciales + Marketing","","Temporal","3 meses","Desarrollo de visitas comerciales. Creación de base de datos para clientes. Acciones de comunicación y marketing para la actual cartera de clientes. Desarrollo de funciones básicas de apoyo al departamento técnico y Marketing.","600","lunes a viernes","SI","SI","SI","Conocimientos avanzados Informática","17","168","http://www.concejaliadeempleo.lorca.es/oferta-demanda-empleo/detalle-oferta-empleo-privado.asp?idoferta=1232"
