id,plazas,subgrupo,plaza,turno,acceso,urloferta
"391","1","C1","MONITOR/A CERTIFICADOS PROFESIONALIDAD ARREGLOS Y ADAPTACIONES DE PRENDAS Y ARTÍCULOS EN TEXTIL Y PIEL - PROYECTO EMPLEO JOVEN LORCA","LIBRE","PRUEBAS SELECTIVAS","http://wwww.lorca.es/ficheros/file/oposiciones/apartados.asp?opo=391&id=464"
"394","1","C1","MONITOR/A CERTIFICADOS PROFESIONALIDAD ATENCIÓN SOCIOSANITARIA A PERSONAS DEPENDIENTES EN INSTITUCIONES SOCIALES - PROYECTO EMPLEO JOVEN LORCA","LIBRE","PRUEBAS SELECTIVAS","http://wwww.lorca.es/ficheros/file/oposiciones/apartados.asp?opo=394&id=464"
"392","1","C1","MONITOR/A CERTIFICADOS PROFESIONALIDAD DINAMIZACIÓN DE ACTIVIDADES DE TIEMPO LIBRE EDUCATIVO, INFANTIL Y JUVENIL - PROYECTO EMPLEO JOVEN LORCA","LIBRE","PRUEBAS SELECTIVAS","http://wwww.lorca.es/ficheros/file/oposiciones/apartados.asp?opo=392&id=464"
"389","1","C1","MONITOR/A CERTIFICADOS PROFESIONALIDAD OPERACIONES AUXILIARES MONTAJE Y MANTENIMIENTO DE SISTEMAS MICROINFORMÁTICOS - PROYECTO EMPLEO JOVEN LORCA","LIBRE","PRUEBAS SELECTIVAS","http://wwww.lorca.es/ficheros/file/oposiciones/apartados.asp?opo=389&id=464"
"387","2","C1","MONITOR/A CERTIFICADOS PROFESIONALIDAD OPERACIONES BÁSICAS DE COCINA - PROYECTO EMPLEO JOVEN LORCA","LIBRE","PRUEBAS SELECTIVAS","http://wwww.lorca.es/ficheros/file/oposiciones/apartados.asp?opo=387&id=464"
"388","2","C1","MONITOR/A CERTIFICADOS PROFESIONALIDAD OPERACIONES BÁSICAS RESTAURANTE BAR - PROYECTO EMPLEO JOVEN LORCA","LIBRE","PRUEBAS SELECTIVAS","http://wwww.lorca.es/ficheros/file/oposiciones/apartados.asp?opo=388&id=464"
"393","1","C1","MONITOR/A CERTIFICADOS PROFESIONALIDAD PROMOCIÓN TURÍSTICA LOCAL E INFORMACIÓN AL VISITANTE - PROYECTO EMPLEO JOVEN LORCA","LIBRE","PRUEBAS SELECTIVAS","http://wwww.lorca.es/ficheros/file/oposiciones/apartados.asp?opo=393&id=464"
"406","1","C1","MONITOR/A DEL CURSO DE ESPECIALIZACIÓN EN EL CAMPO DE LA RESTAURACIÓN Y TALLA DE ELEMENTOS DE MADERA","LIBRE","PRUEBAS SELECTIVAS","http://wwww.lorca.es/ficheros/file/oposiciones/apartados.asp?opo=406&id=464"
"386","2","A2","TÉCNICO - PROYECTO EMPLEO JOVEN LORCA","LIBRE","PRUEBAS SELECTIVAS","http://wwww.lorca.es/ficheros/file/oposiciones/apartados.asp?opo=386&id=464"
"366","1","A1","TÉCNICO MEDIOAMBIENTAL ","LIBRE","CONCURSO-OPOSICIÓN ","http://wwww.lorca.es/ficheros/file/oposiciones/apartados.asp?opo=366&id=464"
