Mun;Referen;Superfic.;UC ;U;C;T;FechaFiO
067;8893029;   167,00;001;1;1;2;19000101
067;8893030;   816,00;001;4;2;1;19600101
067;8893030;   816,00;002;4;2;1;19600101
067;8893030;   816,00;003;9;3;2;19600101
067;8893031;   135,00;001;1;1;1;19000101
067;8893031;   135,00;002;9;3;2;19000101
067;8893032;  4403,71;001;1;1;1;19800101
067;8893032;  4403,71;002;9;3;2;19000101
067;8893032;  4403,71;003;9;3;2;19000101
067;8893033; 11251,50;001;1;1;1;19890101
067;8893033; 11251,50;002;9;3;2;19000101
067;8893034;  2000,00;001;1;1;1;19781222
067;8893035;  3090,29;001;4;2;1;19600101
067;8893035;  3090,29;002;4;2;1;19600101
067;8893035;  3090,29;003;9;3;2;19600101
067;8893037;  1129,82;001;4;1;1;19600101
067;8893038;  7830,86;001;4;1;1;19650101
067;8893041;    81,00;001;8;1;1;19000101
067;8893041;    81,00;002;9;3;2;19000101
067;8893042;   107,00;001;1;1;1;19710101
067;8893043;  3625,00;001;1;1;1;19780101
067;8893044;   725,00;001;1;2;1;19860201
067;8893044;   725,00;002;9;3;2;19580101
067;8893045;   460,00;001;8;1;2;19000101
067;8893046;  1088,00;001;1;2;1;19930101
067;8893047;   247,00;001;8;2;2;19820101
067;8893049;  2237,53;001;1;1;2;19000101
067;8894001;   174,00;001;1;1;1;19800101
067;8894001;   174,00;002;9;3;2;19800101
067;8894002;   242,00;001;1;1;1;19000101
067;8894002;   242,00;002;9;3;2;19000101
067;8894003;   490,00;001;4;1;1;19780101
067;8894004; 16100,00;001;1;1;1;19000101
067;8894004; 16100,00;002;9;3;2;19600101
067;8894004; 16100,00;003;9;3;2;19600101
067;8894005;   199,00;001;1;1;1;19000101
067;8894005;   199,00;002;9;3;2;19000101
067;8894005;   199,00;003;9;3;2;19000101
067;8894006;   398,00;001;1;1;1;19000101
067;8894006;   398,00;002;4;3;2;19540101
067;8894006;   398,00;003;9;3;2;19540101
067;8894007;   300,00;001;1;2;1;19000101
067;8894007;   300,00;002;9;3;2;19630101
067;8894007;   300,00;003;9;3;2;19730101
067;8894007;   300,00;004;9;1;2;19750101
067;8894008;  1000,00;001;4;2;1;19990930
067;8894009;   160,00;001;1;2;1;19690101
067;8894010;  6000,00;001;1;1;1;19680101
067;8894010;  6000,00;002;9;3;2;19680101
067;8894011;   213,00;001;1;1;1;19800101
067;8894011;   213,00;002;9;3;2;19450101
067;8894011;   213,00;003;9;3;2;19450101
067;8894011;   213,00;004;9;3;2;19450101
067;8894012;   124,00;001;1;1;1;19000101
067;8894012;   124,00;002;9;3;2;19000101
067;8894013;  1152,00;001;1;1;1;19000101
067;8894013;  1152,00;002;6;2;1;19730101
067;8894014;   203,31;001;1;1;1;20110203
067;8894014;   203,31;099;1;1;1;19000101
067;8894015;    88,00;001;1;1;1;19000101
067;8894016;   107,00;001;9;3;2;19000101
067;8894016;   107,00;002;1;1;1;19890101
067;8894017; 10500,00;001;1;1;1;19660101
067;8894020; 26496,00;001;1;1;1;19000101
067;8894020; 26496,00;002;9;3;2;19000101
067;8895002;  3007,00;001;4;1;2;20011130
067;8895003;  1505,00;001;4;1;2;20020228
067;8895006; 12591,00;001;4;1;2;20010101
067;8895006; 12591,00;002;2;2;1;20010101
067;8895006; 12591,00;003;3;2;1;20010101
067;8895006; 12591,00;004;4;2;2;20020424
067;8895006; 12591,00;005;4;2;2;20011125
067;8895006; 12591,00;006;4;2;2;20011218
067;8895006; 12591,00;007;4;2;2;20020101
067;8895006; 12591,00;008;4;2;2;20011210
067;8895006; 12591,00;009;4;2;2;20020510
067;8895006; 12591,00;010;4;2;2;20020513
067;8895006; 12591,00;011;4;2;2;20020307
067;8895006; 12591,00;012;4;2;2;20020304
067;8895006; 12591,00;013;4;2;2;20020404
067;8895006; 12591,00;014;4;2;2;20011114
067;8895006; 12591,00;015;4;2;2;20020116
067;8895006; 12591,00;016;4;2;2;20011017
067;8895006; 12591,00;017;4;2;2;20021220
067;8895008;   891,00;001;4;1;1;19600101
067;8895009;   737,00;001;4;1;1;19900101
067;8895010;  6125,00;001;4;2;1;19990805
067;8895011;   361,00;001;1;2;2;19730101
067;8895012;  4512,00;001;4;2;1;20020515
067;8895015;  1000,00;001;4;1;1;20041115
067;8895018;  3000,00;001;4;1;1;19500101
067;8895022;  1590,00;001;9;2;2;20020215
067;8895024;  1000,00;001;4;2;1;20050101
067;8895026;  2009,00;001;1;1;1;19630101
067;8895026;  2009,00;002;1;1;1;19530101
067;8895026;  2009,00;003;9;3;2;19230101
067;8895026;  2009,00;004;1;1;1;19530101
067;8895026;  2009,00;005;9;3;2;19230101
067;8895029;  1222,90;001;1;2;1;19400101
067;8895030;    78,00;001;1;2;1;19560101
067;8895030;    78,00;002;9;1;2;19870101
067;8895032;   229,00;001;1;2;1;19590101
067;8895034;   300,00;001;9;3;3;19700101
067;8895038;  1402,80;001;4;1;2;20020215
067;8895039;  7576,00;001;4;2;1;20020529
067;8895039;  7576,00;002;3;2;1;20020529
067;8895041;  3071,00;001;9;1;2;19950324
067;8895042;   548,00;001;1;1;1;19480101
067;8895042;   548,00;002;9;3;2;19670101
067;8895042;   548,00;003;9;3;2;19670101
067;8895045;   789,70;001;1;2;1;20100521
067;8895046;   357,00;001;1;2;1;19730101
067;8895048;    81,00;001;1;1;1;19910101
067;8895048;    81,00;002;9;3;2;19600101
067;8895049;   269,00;001;1;1;1;19000101
067;8895050;  1002,00;001;1;1;2;19000101
067;8895053;  2430,00;001;4;1;1;20030107
067;8895053;  2430,00;002;3;2;1;20030107
067;8895055;  1799,00;001;1;1;1;19941221
067;8895056;  4992,00;001;4;1;1;20011204
067;8895057;   123,00;001;1;1;1;19000101
067;8895059;   123,00;001;1;1;1;19000101
067;8895062;  1767,00;001;9;1;2;19850101
067;8895063;   543,00;001;1;2;1;19740501
067;8895064; 11567,00;001;8;2;2;19820101
067;8895065;  1000,00;001;1;1;1;19800101
067;8895066;   357,00;001;1;2;1;19730107
067;8895068; 12265,00;001;4;1;1;20011105
067;8895068; 12265,00;002;4;1;1;20011105
067;8895068; 12265,00;003;3;1;1;20011105
067;8895068; 12265,00;004;4;1;1;20070410
067;8895069;  4702,00;001;1;1;1;19000101
067;8895069;  4702,00;002;9;3;2;19570101
067;8895070;  2228,00;001;9;1;2;19850101
067;8895071;   230,00;001;1;1;1;19500101
067;8895072;   267,00;001;9;3;2;19000101
067;8895072;   267,00;002;9;3;1;19000101
067;8895072;   267,00;003;9;3;2;19000101
067;8895072;   267,00;004;1;1;1;19830101
067;8895073;    36,00;001;9;3;3;19700101
067;8895086;  1000,00;001;1;1;1;19200101
067;8895087;  1334,00;001;1;1;1;20081106
067;8895087;  1334,00;098;9;3;2;19750101
067;8895087;  1334,00;099;1;2;1;19000101
067;8895088;    75,00;001;1;1;1;19770101
067;8895089;   437,00;001;1;2;1;19760101
067;8895090;   472,00;001;1;2;2;19720101
067;8895090;   472,00;002;1;2;2;19760201
067;8895091; 12643,00;001;5;1;5;19910101
067;8895091; 12643,00;002;5;1;2;19910101
067;8895091; 12643,00;003;5;2;1;19910101
067;8895092;   352,00;001;1;2;1;19720101
067;8895092;   352,00;002;9;1;2;19720411
067;8895093;   177,00;001;1;2;2;19720101
067;8895093;   177,00;002;1;2;2;19760201
067;8895094;   177,00;001;1;2;2;19710101
067;8895095;   350,00;001;1;2;1;19730101
067;8895095;   350,00;002;1;2;1;19760101
067;8895096;  1000,00;001;1;1;1;19200101
067;8895097;   386,00;001;1;2;1;19700101
067;8895098;   390,00;001;1;2;1;19720101
067;8895098;   390,00;002;1;2;1;19720101
067;8895099;   437,00;001;1;2;1;19760101
067;8895100;   390,00;001;1;2;1;19760101
067;8895101;   834,00;001;1;2;1;19740709
067;8895102;   357,00;001;1;2;1;19731223
067;8895103;   357,00;001;1;2;1;19730829
067;8895104;   357,00;001;1;2;1;19730829
067;8895105;   357,00;001;1;2;1;19750101
067;8895106;   350,00;001;1;2;1;19720101
067;8895107;  4159,00;001;1;2;1;19830701
067;8895108;  3133,00;001;4;1;1;20020605
067;8895108;  3133,00;002;3;2;1;20020605
067;8895109;  4954,00;001;4;1;1;20020508
067;8895109;  4954,00;002;3;2;1;20020508
067;8895110;  5942,00;001;4;1;1;20010122
067;8895110;  5942,00;002;4;1;1;20061130
067;8895110;  5942,00;003;3;2;1;20061130
067;8895110;  5942,00;004;9;2;2;20010122
067;8895111;  5211,00;001;4;2;1;20020301
067;8895111;  5211,00;002;3;2;1;20020301
067;8895111;  5211,00;003;9;3;3;20020301
067;8895111;  5211,00;004;9;1;1;20020301
067;8895111;  5211,00;005;9;3;2;20080101
067;8895112;  3209,00;001;1;1;1;19950109
067;8895114;    20,14;001;9;3;3;20100701
067;8895115;   305,00;001;4;1;1;20131119
067;8896001;   310,00;001;1;2;2;19650101
067;8896002;   169,00;001;1;2;1;19590101
067;8896002;   169,00;002;1;2;1;19750101
067;8896003;   276,00;001;1;2;1;19670101
067;8896004;   500,00;001;1;2;1;19680101
067;8896005;   320,00;001;1;2;2;19660101
067;8896006;   320,00;001;1;2;2;19680122
067;8896007;   320,00;001;1;2;1;19690101
067;8896008;   152,00;001;1;2;2;19650101
067;8896009;  1148,00;001;2;2;2;19720201
067;8896010;   306,00;001;1;2;2;19660101
067;8896011;   306,00;001;1;2;2;19630101
067;8896012;   320,00;001;1;2;2;19680101
067;8896013;   310,00;001;1;2;2;19660101
067;8896014;   288,00;001;1;2;1;19650101
067;8896015;   936,00;001;7;1;3;19900101
067;8896016;   360,00;001;1;2;1;19680101
067;8896017;   360,00;001;1;2;1;19680101
067;8896018;   181,00;001;1;2;1;19690101
067;8896019;   181,00;001;1;2;2;19680101
067;8896020;   312,00;001;1;2;2;19630101
067;8896021;   312,00;001;1;2;2;19630101
067;8896022;   169,00;001;1;2;1;19590101
067;8896023;   320,00;001;1;2;2;19660101
067;8896024;   316,00;001;1;2;2;19630101
067;8896025;   320,00;001;1;2;2;19660101
067;8896026;   348,00;001;1;2;2;19660101
067;8896027;   269,00;001;1;2;1;19690101
067;8896028;  9947,00;001;1;2;1;19580101
067;8896028;  9947,00;002;9;3;2;19580101
067;8896029;   320,00;001;1;2;1;19680101
067;8896030;   145,57;001;1;2;2;19650101
067;8896031;   169,00;001;1;2;1;19580101
067;8896031;   169,00;002;1;2;1;19740101
067;8896032;   276,00;001;1;2;2;19690101
067;8896033;   360,00;001;1;2;1;19680101
067;8896034;   308,00;001;9;1;2;19680101
067;8896034;   308,00;002;1;2;2;19680101
067;8896035;   360,00;001;1;2;2;19680101
067;8896036;   379,00;001;9;1;2;19710101
067;8896036;   379,00;002;1;2;1;20070523
067;8896037;   396,00;001;1;2;2;19710101
067;8896037;   396,00;002;1;2;1;20070523
067;8896038;  2200,00;001;8;2;2;19650101
067;8896039;   388,00;001;1;2;1;19640101
067;8896040;   388,00;001;1;2;1;19640101
067;8896041;   551,00;001;1;2;1;19730101
067;8896042;   360,00;001;1;2;2;19660101
067;8896043;   262,00;001;1;2;1;19480101
067;8896044;   288,00;001;1;2;1;19640101
067;8896045;   360,00;001;1;2;1;19640101
067;8896046;   361,00;001;1;2;1;19750201
067;8896047;   361,00;001;1;2;1;19730101
067;8896048;   361,00;001;1;2;2;19740101
067;8896049;   361,00;001;1;2;1;19750202
067;8896050;   361,00;001;1;2;1;19730102
067;8896051;   388,00;001;1;2;1;19640101
067;8896052;   192,00;001;1;2;1;19630101
067;8896053;   310,00;001;1;2;2;19560101
067;8896054;   311,00;001;1;2;1;19560101
067;8896055;   311,00;001;1;2;2;19560101
067;8896056;   465,00;001;1;2;1;19560101
067;8896057;   157,00;001;1;2;1;19560101
067;8896058;   147,00;001;1;2;1;19630101
067;8896059;   167,00;001;1;2;1;19640101
067;8896060;   488,31;001;9;1;2;19710101
067;8896061;   238,00;001;1;2;2;19650101
067;8896062;   386,00;001;1;2;1;19710101
067;8896063;   175,00;001;1;2;1;19650101
067;8896064;   177,00;001;1;2;2;19631121
067;8896065;   189,00;001;1;2;2;19630101
067;8896066;   126,00;001;1;2;2;19640101
067;8896067;   128,00;001;1;2;1;19590101
067;8896068;   224,00;001;1;2;1;19650101
067;8896069;   172,00;001;1;2;2;19640101
067;8896070;   380,00;001;1;2;1;19710101
067;8896071;   322,00;001;1;2;1;19650101
067;8896072;   380,00;001;1;2;2;19740101
067;8896073;   361,00;001;1;2;1;19750101
067;8896074;   380,00;001;1;2;2;19720101
067;8896075;   380,00;001;1;2;2;19720101
067;8896076;   380,00;001;1;2;2;19720101
067;8896077;   532,00;001;1;2;1;19740101
067;8896078;   240,00;001;1;2;1;19770101
067;8896079;   543,00;001;1;2;1;19740501
067;8896080;   361,00;001;1;2;1;19710101
067;8896081;   542,00;001;1;2;1;19740101
067;8896082;   594,00;001;1;2;2;19720101
067;8896083;   380,00;001;1;2;2;19740101
067;8896084;   360,00;001;1;2;2;19740101
067;8896085;   330,00;001;1;2;1;19740101
067;8896086;   330,00;001;1;2;1;19740101
067;8896087;   330,00;001;1;2;1;19740101
067;8896088;   400,00;001;1;2;1;19740101
067;8896089;   357,00;001;1;2;1;19731223
067;8896090;   382,00;001;1;2;1;19730101
067;8896091;   580,00;001;1;2;1;19750101
067;8896092;   361,00;001;1;2;1;19730101
067;8896093;   620,00;001;9;3;1;19500101
067;8896094;   361,00;001;1;2;1;19710101
067;8896095;   361,00;001;1;2;1;19730101
067;8896096;   647,00;001;1;2;2;19630101
067;8896097;   361,00;001;1;2;1;19730101
067;8896098;   380,00;001;1;2;1;19740101
067;8896099;   380,00;001;1;2;1;19740101
067;8896100;   376,00;001;1;2;2;19720101
067;8896101;   361,00;001;1;2;1;19730101
067;8896102;   541,00;001;1;2;1;19720101
067;8896103;   361,00;001;1;2;1;19720101
067;8896104;   361,00;001;1;2;1;19710101
067;8896105;   378,00;001;1;2;2;19720101
067;8896106;   378,00;001;1;2;1;19720101
067;8896107;   361,00;001;1;2;1;19720101
067;8896108;   361,00;001;1;2;1;19720101
067;8896109;   532,00;001;1;2;2;19720101
067;8896110;   361,00;001;1;2;1;19720101
067;8896111;   168,00;001;1;2;1;19690101
067;8896112;   552,00;001;1;2;1;19700622
067;8896113;   159,00;001;1;2;1;19590101
067;8896114;   459,00;001;1;2;1;19720101
067;8896115;   311,00;001;1;2;1;19730101
067;8896116;   446,00;001;1;2;2;19730101
067;8896117;   265,00;001;1;2;1;19730101
067;8896118;   472,00;001;1;2;1;19760101
067;8896119;   311,00;001;1;2;1;19730101
067;8896120;   436,00;001;1;2;1;19890628
067;8896121;  1750,00;001;3;2;1;19730101
067;8896121;  1750,00;002;3;2;1;19730101
067;8896122;   440,00;001;1;2;1;19700101
067;8896123;   270,00;001;1;2;1;19720101
067;8896124;   573,00;001;1;2;1;19710101
067;8896125;   389,00;001;1;2;1;19740101
067;8896126;   337,00;001;1;2;1;19700101
067;8896127;  1050,00;001;1;2;1;19780101
067;8896128;   725,22;001;1;2;1;19740101
067;8896128;   725,22;002;3;2;1;19740101
067;8896129;   424,00;001;1;2;1;19760101
067;8896130;   458,00;001;1;2;1;19770101
067;8896131;   380,00;001;1;2;1;19930101
067;8896131;   380,00;002;9;3;2;19690701
067;8896132;   335,73;001;1;2;1;19250101
067;8896133;   428,50;001;1;2;1;20030523
067;8896133;   428,50;099;1;2;1;19550101
067;8896134;   384,00;001;1;2;1;19400101
067;8896134;   384,00;002;1;2;1;19200101
067;8896134;   384,00;003;9;3;2;19400101
067;8896135;   735,00;001;1;2;1;19620101
067;8896136;   560,00;001;1;2;1;19710101
067;8896137;   164,00;001;1;2;2;19590101
067;8896138;   156,00;001;1;2;2;19590101
067;8896139;   156,00;001;1;2;2;19590101
067;8896140;   185,00;001;1;2;2;19590101
067;8896141;   156,00;001;1;2;2;19590101
067;8896142;   156,00;001;1;2;2;19580101
067;8896143;   185,00;001;1;2;2;19580101
067;8896144;   156,00;001;1;2;2;19590101
067;8896144;   156,00;002;1;2;2;19740101
067;8896145;   156,00;001;1;2;2;19590101
067;8896146;   185,00;001;1;2;2;19590101
067;8896147;   156,00;001;1;2;2;19590101
067;8896148;   308,00;001;1;2;1;19730101
067;8896149;   164,00;001;1;2;2;19590101
067;8896150;   688,00;001;6;2;1;19560101
067;8896150;   688,00;002;6;1;1;20080716
067;8896150;   688,00;003;9;3;2;20080716
067;8896150;   688,00;099;6;2;1;19560101
067;8896151;   164,00;001;1;2;2;19590101
067;8896152;   160,00;001;1;2;2;19590101
067;8896153;   164,00;001;1;2;2;19590101
067;8896154;   169,00;001;1;2;1;19580101
067;8896155;   156,00;001;1;2;2;19580101
067;8896155;   156,00;002;1;2;2;19740101
067;8896156;   185,00;001;1;2;2;19590101
067;8896157;   156,00;001;1;2;2;19590101
067;8896157;   156,00;002;1;2;2;19740101
067;8896158;   276,00;001;1;2;1;19670101
067;8896159;   326,00;001;1;2;1;19750101
067;8896160;   424,00;001;1;2;1;19670101
067;8896161;   164,00;001;1;2;2;19590101
067;8896162;   351,00;001;1;2;2;19700101
067;8896163;   380,00;001;1;2;2;19710101
067;8896164;   380,00;001;1;2;2;19710101
067;8896165;   380,00;001;1;2;2;19720101
067;8896166;   380,00;001;1;2;2;19720101
067;8896167;   465,00;001;1;2;2;19710101
067;8896168;   297,00;001;1;2;1;19710101
067;8896169;   297,00;001;1;2;2;19710101
067;8896170;   529,00;001;1;2;2;19711229
067;8896171;   378,00;001;1;2;2;19720101
067;8896172;   380,00;001;1;2;2;19710101
067;8896173;   458,00;001;1;1;1;19480101
067;8896174;   380,00;001;1;2;1;19710101
067;8896175;   763,00;001;1;2;2;19770101
067;8896176;   347,70;001;1;2;1;19711117
067;8896177;   347,70;001;1;2;1;19711117
067;8896178;   351,50;001;1;2;1;19711117
067;8896179;   380,00;001;1;2;2;19710101
067;8896180;   512,00;001;1;2;1;19720101
067;8896181;   200,00;001;9;1;2;19730101
067;8896182;  1436,00;001;9;1;2;19850101
067;8896183;  3663,20;001;2;1;1;19990518
067;8896184;  1438,00;001;1;2;1;19000101
067;8896185; 39525,00;001;8;2;2;19600101
067;8896185; 39525,00;002;8;1;2;19600101
067;8896185; 39525,00;003;8;2;2;19600101
067;8896185; 39525,00;004;8;2;2;19650101
067;8896185; 39525,00;005;8;2;2;19600101
067;8896185; 39525,00;006;5;1;1;19700101
067;8896185; 39525,00;007;5;1;2;19750101
067;8896185; 39525,00;008;5;1;1;20070317
067;8896185; 39525,00;009;8;2;2;20070317
067;8896185; 39525,00;010;9;3;2;20070317
067;8896186;   380,00;001;1;2;2;19710101
067;8896187;   110,00;001;1;2;2;19590101
067;8896188;   168,00;001;1;2;2;19590101
067;8896189;   405,00;001;1;2;1;19210101
067;8896190;   510,00;001;1;1;1;19530101
067;8896191;   568,00;001;1;2;1;19340101
067;8896192;   611,00;001;1;1;1;19350101
067;8896193;  3555,77;001;1;1;2;20000406
067;8896193;  3555,77;002;1;1;2;20000406
067;8896193;  3555,77;003;1;1;2;20000406
067;8896193;  3555,77;004;1;1;2;20000406
067;8896194;   763,00;001;9;3;2;19960301
067;8896194;   763,00;002;9;2;2;19960301
067;8896195;   160,00;001;1;2;2;19590101
067;8896196;   160,00;001;1;2;2;19590101
067;8896197;   183,00;001;1;2;2;19590101
067;8896198;  3500,00;001;8;2;2;19800101
067;8896199;   160,00;001;1;2;2;19590101
067;8896200;  2484,00;001;8;2;2;19760101
067;8896200;  2484,00;002;8;2;2;19810101
067;8896201;  2004,00;001;1;2;1;19920602
067;8896202;  1350,00;001;1;2;1;19920602
067;8896203;  2054,00;001;9;1;2;19940324
067;8896204;  2740,00;001;1;2;1;19921020
067;8896205;  3853,00;001;1;2;1;19920626
067;8896206;   864,00;001;1;2;1;19920626
067;8896207;   864,00;001;1;2;1;19920626
067;8896208;   840,00;001;1;2;1;19920626
067;8896209;   480,00;001;9;3;2;19000101
067;8896210;   855,00;001;9;1;2;19980306
067;8896211;  1000,00;001;1;1;1;19350101
067;8896211;  1000,00;002;9;3;2;19700101
067;8896212;   160,00;001;1;2;2;19590101
067;8896213;    20,00;001;9;3;3;19600101
067;8896214;  4944,00;001;1;2;1;19650101
067;8896214;  4944,00;002;1;2;1;19650101
067;8896215;  1300,00;001;1;2;1;19650101
067;8896215;  1300,00;002;1;2;1;19650101
067;8896216;   196,00;001;8;2;2;19700101
067;8896217;  2163,00;001;1;2;1;19630101
067;8896218;  1296,00;001;1;2;1;19630101
067;8896218;  1296,00;002;1;2;1;19620101
067;8896218;  1296,00;003;1;2;1;19610101
067;8896218;  1296,00;004;1;2;1;19610101
067;8896219;   168,00;001;8;2;2;19800101
067;8896220;   500,00;001;8;2;2;19720101
067;8896221;   200,00;001;1;2;1;19510101
067;8896222;   150,00;001;1;2;1;19450101
067;8896223;   300,00;001;1;2;1;19490101
067;8896223;   300,00;002;2;2;1;19750101
067;8896224;  1480,00;001;4;2;2;19450101
067;8896225;   200,00;001;1;2;1;19690101
067;8896226;   323,00;001;1;2;1;19640101
067;8896227;  2715,00;001;4;1;1;19890101
067;8896228;   471,00;001;8;2;2;19760101
067;8896229;    75,00;001;1;2;1;19530101
067;8896230;   798,00;001;9;1;2;19840131
067;8896231;  1569,00;001;1;2;1;19990604
067;8896232;  3116,00;001;9;1;2;19800101
067;8896233;  2785,00;001;5;1;1;19880101
067;8896234;  2000,00;001;8;2;2;19820101
067;8896235;   200,00;001;6;3;1;19590101
067;8896236;   185,00;001;1;2;2;19580101
067;8896237;  4960,00;001;8;2;2;19750101
067;8896238;   311,00;001;1;2;2;19560101
067;8896239;   169,00;001;1;2;1;19590101
067;8896240;   156,00;001;1;2;2;19590101
067;8896241;   185,00;001;1;2;2;19590101
067;8896242;   156,00;001;1;2;2;19590101
067;8896242;   156,00;002;1;2;2;19750101
067;8896243;   156,00;001;1;2;2;19590101
067;8896243;   156,00;002;1;2;2;19740101
067;8896244;   185,00;001;1;2;2;19590101
067;8896245;   156,00;001;1;2;2;19590101
067;8896245;   156,00;002;1;2;2;19740101
067;8896246;  2800,00;001;8;2;2;19650101
067;8896246;  2800,00;002;8;2;2;19851226
067;8896247;   156,00;001;1;2;2;19590101
067;8896248;   185,00;001;1;2;2;19590101
067;8896249;   200,00;001;1;2;1;19510101
067;8896250;   159,00;001;1;2;1;19590101
067;8896251;   323,00;001;1;2;1;19640101
067;8896252;   148,00;001;1;2;1;19590101
067;8896253;   301,00;001;1;2;1;19520101
067;8896254;   180,00;001;1;2;1;19590101
067;8896255;  8536,00;001;8;2;2;19670101
067;8896255;  8536,00;002;8;2;2;19971004
067;8896255;  8536,00;003;8;1;3;19980430
067;8896256;   206,00;001;1;2;2;19590101
067;8896257;   773,00;001;1;2;1;19700101
067;8896258;   880,00;001;1;2;2;19710101
067;8896259;   528,00;001;1;2;1;19690516
067;8896260;  3698,00;001;8;1;2;19600101
067;8896261;   887,00;001;1;2;1;19740101
067;8896262;   299,00;001;1;2;2;19880101
