AÑO;CODIGO AYUNTAMIENTO;NOMBRE AYUNTAMIENTO;CODIGO IMPUESTO;NOMBRE IMPUESTO;CODIGO CALLE;NOMBRE CALLE;DISTRITO;SECCION;NRO RECIBOS;IMPORTE RECAUDADO;IMPORTE EJECUTIVA PENDIENTE;.                                                                                                                                                                                                                                                                                                                                                                                                                            
2015;067;ERRENTERIA;002;TASA RECOG. BA;1107;MIGUEL ALDUNTZIN KALEA;001;020;12;1.261,17;115,74;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2015;067;ERRENTERIA;002;TASA RECOG. BA;1107;MIGUEL ALDUNTZIN KALEA;001;034;60;5.709,84;115,74;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2015;067;ERRENTERIA;002;TASA RECOG. BA;1108;ORERETA KALEA;001;001;18;2.353,72;119,81;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
2015;067;ERRENTERIA;002;TASA RECOG. BA;1109;PABLO IGLESIAS KALEA;001;001;40;4.617,42;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
2015;067;ERRENTERIA;002;TASA RECOG. BA;1109;PABLO IGLESIAS KALEA;001;020;100;10.812,24;119,81;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2015;067;ERRENTERIA;002;TASA RECOG. BA;1110;SANTA KLARA KALEA;001;001;1;525,85;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
2015;067;ERRENTERIA;002;TASA RECOG. BA;1110;SANTA KLARA KALEA;001;020;256;26.762,69;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
2015;067;ERRENTERIA;002;TASA RECOG. BA;1201;KAPITANENEA KALEA;001;003;99;12.309,03;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
2015;067;ERRENTERIA;002;TASA RECOG. BA;1202;KRISTOBAL GAMON KALEA;001;002;99;10.436,34;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2015;067;ERRENTERIA;002;TASA RECOG. BA;1203;FERNANDEZ DE LANDA PLAZA;001;003;36;4.387,22;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2015;067;ERRENTERIA;002;TASA RECOG. BA;1204;JUAN IGNACIO GAMON ZUMARDIA/AL;000;000;40;5.751,85;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
2015;067;ERRENTERIA;002;TASA RECOG. BA;1204;JUAN IGNACIO GAMON ZUMARDIA/AL;001;001;3;1.042,98;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
2015;067;ERRENTERIA;002;TASA RECOG. BA;1204;JUAN IGNACIO GAMON ZUMARDIA/AL;001;003;1;96,45;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2015;067;ERRENTERIA;002;TASA RECOG. BA;1207;ASKATASUNAREN MARTIRIEN KALEA;001;002;24;2.223,17;115,74;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
2015;067;ERRENTERIA;002;TASA RECOG. BA;1208;NAFARROA HIRIBIDE/AVENIDA DE N;000;000;1;0,00;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
2015;067;ERRENTERIA;002;TASA RECOG. BA;1208;NAFARROA HIRIBIDE/AVENIDA DE N;001;002;1;96,45;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2015;067;ERRENTERIA;002;TASA RECOG. BA;1208;NAFARROA HIRIBIDE/AVENIDA DE N;001;004;12;1.157,40;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
2015;067;ERRENTERIA;002;TASA RECOG. BA;1208;NAFARROA HIRIBIDE/AVENIDA DE N;001;009;55;6.267,95;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
2015;067;ERRENTERIA;002;TASA RECOG. BA;1208;NAFARROA HIRIBIDE/AVENIDA DE N;001;011;242;28.287,87;115,74;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
2015;067;ERRENTERIA;002;TASA RECOG. BA;1208;NAFARROA HIRIBIDE/AVENIDA DE N;001;013;13;1.533,70;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
2015;067;ERRENTERIA;002;TASA RECOG. BA;1208;NAFARROA HIRIBIDE/AVENIDA DE N;001;014;28;3.125,83;115,74;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
2015;067;ERRENTERIA;002;TASA RECOG. BA;1208;NAFARROA HIRIBIDE/AVENIDA DE N;001;020;130;14.184,13;119,81;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
2015;067;ERRENTERIA;002;TASA RECOG. BA;1208;NAFARROA HIRIBIDE/AVENIDA DE N;001;023;29;2.884,00;231,48;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
2015;067;ERRENTERIA;002;TASA RECOG. BA;1209;SANTXOENEA KALEA;001;003;106;13.846,27;217,08;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
2015;067;ERRENTERIA;002;TASA RECOG. BA;1210;SANTA MARIA KALEA;001;003;62;7.576,42;336,89;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
2015;067;ERRENTERIA;002;TASA RECOG. BA;1211;URANTZU KALEA;001;002;31;3.192,01;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
2015;067;ERRENTERIA;002;TASA RECOG. BA;1212;BITERI KALEA;000;000;24;4.101,25;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
2015;067;ERRENTERIA;002;TASA RECOG. BA;1212;BITERI KALEA;001;003;1;96,45;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2015;067;ERRENTERIA;002;TASA RECOG. BA;1212;BITERI KALEA;001;006;166;21.203,58;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
2015;067;ERRENTERIA;002;TASA RECOG. BA;1212;BITERI KALEA;001;009;268;30.014,57;563,55;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
2015;067;ERRENTERIA;002;TASA RECOG. BA;1212;BITERI KALEA;001;030;32;3.510,83;336,89;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
2015;067;ERRENTERIA;002;TASA RECOG. BA;1213;ZAMALBIDE KALEA;001;002;58;6.467,19;115,74;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
2015;067;ERRENTERIA;002;TASA RECOG. BA;1214;ZUBIAURRE KALEA;001;002;59;6.465,16;347,22;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
2015;067;ERRENTERIA;002;TASA RECOG. BA;1301;FORU PLAZA;000;000;30;4.062,20;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2015;067;ERRENTERIA;002;TASA RECOG. BA;1301;FORU PLAZA;001;003;11;2.239,66;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2015;067;ERRENTERIA;002;TASA RECOG. BA;1302;BARRIO GAZTAÑO/GAZTAÑO AUZOA;001;005;262;25.392,93;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
2015;067;ERRENTERIA;002;TASA RECOG. BA;1304;MARIA LEZO KALEA;001;003;42;4.837,50;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
2015;067;ERRENTERIA;002;TASA RECOG. BA;1304;MARIA LEZO KALEA;001;006;18;2.075,12;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
2015;067;ERRENTERIA;002;TASA RECOG. BA;1304;MARIA LEZO KALEA;001;022;244;23.695,62;951,95;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
2015;067;ERRENTERIA;002;TASA RECOG. BA;1304;MARIA LEZO KALEA;001;035;67;8.106,01;1.483,19;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
2015;067;ERRENTERIA;002;TASA RECOG. BA;1401;AIZPITARTE PASABIDEA/PASAJE AI;001;004;221;22.741,37;342,40;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
2015;067;ERRENTERIA;002;TASA RECOG. BA;1402;ALEXANDER FLEMING KALEA;001;004;53;5.224,48;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2015;067;ERRENTERIA;002;TASA RECOG. BA;1403;FANDERIA PASEALEKUA/PASEO FAND;001;036;293;30.361,16;115,74;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
2015;067;ERRENTERIA;002;TASA RECOG. BA;1404;BARRIO LARTZABAL/LARTZABAL AUZ;001;004;311;30.964,27;342,40;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
2015;067;ERRENTERIA;002;TASA RECOG. BA;1406;SALK ETA SABIN KALEA;001;004;161;16.944,78;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2015;067;ERRENTERIA;002;TASA RECOG. BA;1407;TOMAS LOPEZ KALEA;001;004;124;12.489,99;115,74;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
2015;067;ERRENTERIA;002;TASA RECOG. BA;1407;TOMAS LOPEZ KALEA;001;020;22;2.215,99;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
2015;067;ERRENTERIA;002;TASA RECOG. BA;1408;GABIERROTA PASEALEKUA/PASEO GA;001;004;27;3.476,49;354,29;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
2015;067;ERRENTERIA;002;TASA RECOG. BA;1501;BEHEKO KALEA / CALLE ABAJO;001;001;53;6.602,21;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2015;067;ERRENTERIA;002;TASA RECOG. BA;1507;SANTA KLARA PLAZA;001;020;33;3.795,64;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
2015;067;ERRENTERIA;002;TASA RECOG. BA;1601;AñARBE KALEA;001;006;28;2.754,32;115,74;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
2015;067;ERRENTERIA;002;TASA RECOG. BA;1602;BIDASOA KALEA;001;006;115;13.296,78;217,08;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
2015;067;ERRENTERIA;002;TASA RECOG. BA;1603;LOPE ISASTI KALEA;001;006;102;9.984,44;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
2015;067;ERRENTERIA;002;TASA RECOG. BA;1604;KALETXIKI;001;006;22;2.556,12;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
2015;067;ERRENTERIA;002;TASA RECOG. BA;1605;MARTIN ETXEBERRIA KALEA;001;006;98;11.635,68;336,89;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2015;067;ERRENTERIA;002;TASA RECOG. BA;1605;MARTIN ETXEBERRIA KALEA;001;030;116;13.325,31;115,74;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
2015;067;ERRENTERIA;002;TASA RECOG. BA;1606;MORRONGILLETA KALEA;000;000;1;208,04;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
2015;067;ERRENTERIA;002;TASA RECOG. BA;1606;MORRONGILLETA KALEA;001;006;42;4.318,75;335,63;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
2015;067;ERRENTERIA;002;TASA RECOG. BA;1606;MORRONGILLETA KALEA;001;017;219;25.677,33;217,08;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2015;067;ERRENTERIA;002;TASA RECOG. BA;1607;ORIA KALEA;001;006;18;1.825,37;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2015;067;ERRENTERIA;002;TASA RECOG. BA;1608;UROLA KALEA;001;006;54;5.126,87;4,27;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
2015;067;ERRENTERIA;002;TASA RECOG. BA;1610;XENPELAR KALEA;001;006;124;14.850,02;208,04;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
2015;067;ERRENTERIA;002;TASA RECOG. BA;1620;KOLDO MITXELENA PLAZA;001;006;112;14.039,36;115,74;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
2015;067;ERRENTERIA;002;TASA RECOG. BA;1701;GALTZARABORDA ETORBIDEA/AV.GAL;000;000;1;0,00;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
2015;067;ERRENTERIA;002;TASA RECOG. BA;1701;GALTZARABORDA ETORBIDEA/AV.GAL;001;007;32;3.014,06;119,81;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
2015;067;ERRENTERIA;002;TASA RECOG. BA;1701;GALTZARABORDA ETORBIDEA/AV.GAL;001;008;168;16.331,79;581,70;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
