URTEA;UDAL KODEA;UDALAREN IZENA;KALE KODEA;KALEAREN IZENA;ESPEDIENTE MOTA;DESKRIBAPENA;ITXITAKO ESPEDIENTE KOPURUA;ITXI GABEKO ESPEDIENTE KOPURUA;.                                                                                                                                                                                                                                                                                                                                                                                                                                                           
2015;067;ERRENTERIA;;;OETX;Udal etxebizitzen erabilpena-lagapena;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
2015;067;ERRENTERIA;;;OINB;Udal Inbentario Onarketa / Zuzenketa;0;2;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
2015;067;ERRENTERIA;;;OKAL;Kalteak Udal Lokalean;14;3;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
2015;067;ERRENTERIA;;;OKEZ;Udal Kalteen Epaitegi Zigortzailea;1;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
2015;067;ERRENTERIA;;;OKTX;KONTRATU TXIKIAK;0;7;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2015;067;ERRENTERIA;;;OLOK;LOKALEN UZTEA;2;29;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2015;067;ERRENTERIA;;;OMEN;Obra Txikiak;1;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2015;067;ERRENTERIA;;;ORDE;Udal Ordenantzak;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2015;067;ERRENTERIA;;;OUGA;Garaje-plaza aldi baterako erabiltzeko baimena;0;9;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2015;067;ERRENTERIA;;;OVIA;Lurzoru Publikoaren Okupazioa;6;5;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2015;067;ERRENTERIA;;;QBBB;Behin Betiko Bermeak Itzultzea;117;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2015;067;ERRENTERIA;;;SGMT;Zerga alorreko eskaera generikoa;34;5;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
2015;067;ERRENTERIA;;;SJFP;Fase Proban dauden Epaitegiko Eskaerak;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
2015;067;ERRENTERIA;;;ZKAR;ZZKontratu artistikoa;0;3;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
2015;067;ERRENTERIA;;;ZZKO;Herri jabaria hartzea kirol probak egiteko;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
2015;067;ERRENTERIA;;;ZZZ1;proba;0;2;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
2015;067;ERRENTERIA;0990;CARLOS I,AV DE;DBIE;Bilketa Prozedurei Buruzko Errekurtsoa;1;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
2015;067;ERRENTERIA;1101;GOIKO KALEA / CALLE ARRIBA;HIGO;IGOGAILUAK;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
2015;067;ERRENTERIA;1101;GOIKO KALEA / CALLE ARRIBA;OMEN;Obra Txikiak;0;2;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
2015;067;ERRENTERIA;1103;HERRIKO PLAZA;HIGO;IGOGAILUAK;0;5;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
2015;067;ERRENTERIA;1103;HERRIKO PLAZA;OKAL;Kalteak Udal Lokalean;3;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
2015;067;ERRENTERIA;1103;HERRIKO PLAZA;OKTX;KONTRATU TXIKIAK;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
2015;067;ERRENTERIA;1103;HERRIKO PLAZA;OVIA;Lurzoru Publikoaren Okupazioa;5;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2015;067;ERRENTERIA;1105;MADALEN KALEA;BAEX;Salbuespen Jardueraren Baja;2;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2015;067;ERRENTERIA;1105;MADALEN KALEA;EXEN;Salbuetsitako Jarduera;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
2015;067;ERRENTERIA;1105;MADALEN KALEA;HIGO;IGOGAILUAK;0;2;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
2015;067;ERRENTERIA;1105;MADALEN KALEA;OKAL;Kalteak Udal Lokalean;1;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
2015;067;ERRENTERIA;1105;MADALEN KALEA;OMEN;Obra Txikiak;1;6;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2015;067;ERRENTERIA;1105;MADALEN KALEA;VELA;Beilariak;1;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
2015;067;ERRENTERIA;1106;ERDIKO KALEA / CALLE MEDIO;BAEX;Salbuespen Jardueraren Baja;1;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
2015;067;ERRENTERIA;1106;ERDIKO KALEA / CALLE MEDIO;OMEN;Obra Txikiak;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
2015;067;ERRENTERIA;1106;ERDIKO KALEA / CALLE MEDIO;OUGA;Garaje-plaza aldi baterako erabiltzeko baimena;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2015;067;ERRENTERIA;1106;ERDIKO KALEA / CALLE MEDIO;ZZKO;Herri jabaria hartzea kirol probak egiteko;0;2;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
2015;067;ERRENTERIA;1107;MIGUEL ALDUNTZIN KALEA;BVAN;Ibilgailu historikoa dela eta TMIZ zergan hobaria;1;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
2015;067;ERRENTERIA;1107;MIGUEL ALDUNTZIN KALEA;EXEN;Salbuetsitako Jarduera;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2015;067;ERRENTERIA;1107;MIGUEL ALDUNTZIN KALEA;LPAR;Partzelazio Lizentzia;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
2015;067;ERRENTERIA;1107;MIGUEL ALDUNTZIN KALEA;OLOK;LOKALEN UZTEA;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
2015;067;ERRENTERIA;1107;MIGUEL ALDUNTZIN KALEA;OMEN;Obra Txikiak;0;8;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
2015;067;ERRENTERIA;1107;MIGUEL ALDUNTZIN KALEA;OUGA;Garaje-plaza aldi baterako erabiltzeko baimena;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
2015;067;ERRENTERIA;1107;BULANDEGI BIDEA;QBBB;Behin Betiko Bermeak Itzultzea;1;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
2015;067;ERRENTERIA;1108;ORERETA KALEA;BAEX;Salbuespen Jardueraren Baja;2;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2015;067;ERRENTERIA;1108;ORERETA KALEA;EXEN;Salbuetsitako Jarduera;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
2015;067;ERRENTERIA;1108;ORERETA KALEA;OMEN;Obra Txikiak;0;2;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2015;067;ERRENTERIA;1108;ORERETA KALEA;VELA;Beilariak;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
2015;067;ERRENTERIA;1109;PABLO IGLESIAS KALEA;BAEX;Salbuespen Jardueraren Baja;1;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
2015;067;ERRENTERIA;1109;PABLO IGLESIAS KALEA;EXEN;Salbuetsitako Jarduera;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2015;067;ERRENTERIA;1109;PABLO IGLESIAS KALEA;HIGO;IGOGAILUAK;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
2015;067;ERRENTERIA;1109;PABLO IGLESIAS KALEA;OMEN;Obra Txikiak;1;3;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
2015;067;ERRENTERIA;1110;SANTA KLARA KALEA;LOMA;Obra Handietarako Lizentzia;0;2;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2015;067;ERRENTERIA;1110;SANTA KLARA KALEA;MINP;Sailkatutako Jardueren Lizentzia;0;2;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
2015;067;ERRENTERIA;1110;SANTA KLARA KALEA;OKAL;Kalteak Udal Lokalean;1;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
2015;067;ERRENTERIA;1110;SANTA KLARA KALEA;OMEN;Obra Txikiak;0;9;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
2015;067;ERRENTERIA;1110;SANTA KLARA KALEA;OUGA;Garaje-plaza aldi baterako erabiltzeko baimena;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
2015;067;ERRENTERIA;1201;KAPITANENEA KALEA;BAEX;Salbuespen Jardueraren Baja;1;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2015;067;ERRENTERIA;1201;KAPITANENEA KALEA;EXEN;Salbuetsitako Jarduera;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
2015;067;ERRENTERIA;1201;KAPITANENEA KALEA;EXSA;Espediente Zigortzailea;0;2;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2015;067;ERRENTERIA;1201;KAPITANENEA KALEA;OMEN;Obra Txikiak;0;3;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
2015;067;ERRENTERIA;1201;KAPITANENEA KALEA;OVIA;Lurzoru Publikoaren Okupazioa;2;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
2015;067;ERRENTERIA;1202;KRISTOBAL GAMON KALEA;OMEN;Obra Txikiak;1;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
