URTEA;UDAL KODEA;UDALAREN IZENA;KALE KODEA;KALEAREN IZENA;KALIFIKAZIOA;ISUNEN KOPURUA;ORDAINDUTAKO ZENBATEKOA;EXEKUTIBOAN KOBRATZEKE ZENBATEKOA;.                                                                                                                                                                                                                                                                                                                                                                                                                                                             
2016;067;ERRENTERIA;1610;XENPELAR KALEA;ARINA;28;595,96;454,64;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
2016;067;ERRENTERIA;1620;KOLDO MITXELENA PLAZA;ARINA;1;0,00;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
2016;067;ERRENTERIA;1701;GALTZARABORDA ETORBIDEA/AV.GAL;LARRIA;33;2.444,95;969,80;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
2016;067;ERRENTERIA;1701;GALTZARABORDA ETORBIDEA/AV.GAL;ARINA;35;961,95;622,65;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
2016;067;ERRENTERIA;1701;GALTZARABORDA ETORBIDEA/AV.GAL;OSO LARRIA;4;750,00;525,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
2016;067;ERRENTERIA;1702;PARKE KALEA;LARRIA;2;200,00;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
2016;067;ERRENTERIA;1702;PARKE KALEA;ARINA;6;208,95;165,90;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
2016;067;ERRENTERIA;1702;PARKE KALEA;OSO LARRIA;1;0,00;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2016;067;ERRENTERIA;1803;GANBO PLAZA;LARRIA;2;200,00;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
2016;067;ERRENTERIA;1803;GANBO PLAZA;ARINA;1;40,00;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
2016;067;ERRENTERIA;1804;MIGUEL ZABALETA KALEA;LARRIA;11;844,95;244,95;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
2016;067;ERRENTERIA;1804;MIGUEL ZABALETA KALEA;ARINA;23;434,95;468,75;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
2016;067;ERRENTERIA;1806;IGANTZI KALEA;LARRIA;5;300,00;479,90;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2016;067;ERRENTERIA;1806;IGANTZI KALEA;ARINA;19;727,90;399,80;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2016;067;ERRENTERIA;1806;IGANTZI KALEA;OSO LARRIA;3;500,00;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2016;067;ERRENTERIA;1807;MASTI-LOIDI KALEA;LARRIA;6;300,00;479,90;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
2016;067;ERRENTERIA;1807;MASTI-LOIDI KALEA;ARINA;7;125,00;163,40;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
2016;067;ERRENTERIA;1807;MASTI-LOIDI KALEA;OSO LARRIA;6;2.054,95;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
2016;067;ERRENTERIA;1808;TXIRRITA-MALEO KALEA;LARRIA;3;200,00;234,95;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
2016;067;ERRENTERIA;1808;TXIRRITA-MALEO KALEA;ARINA;1;64,95;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
2016;067;ERRENTERIA;1901;ALFONSO XI.AREN KALEA;LARRIA;2;100,00;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
2016;067;ERRENTERIA;1901;ALFONSO XI.AREN KALEA;ARINA;11;294,32;86,63;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
2016;067;ERRENTERIA;1904;JOSE ERBITI KALEA;LARRIA;2;200,00;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2016;067;ERRENTERIA;1904;JOSE ERBITI KALEA;ARINA;2;40,00;100,95;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2016;067;ERRENTERIA;1906;SEGUNDO ISPIZUA KALEA;LARRIA;3;200,00;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
2016;067;ERRENTERIA;1906;SEGUNDO ISPIZUA KALEA;ARINA;55;1.112,15;894,30;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
2016;067;ERRENTERIA;1906;SEGUNDO ISPIZUA KALEA;OSO LARRIA;1;0,00;1.204,95;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
2016;067;ERRENTERIA;2001;BARRIO ALABERGA/ALABERGA AUZOA;LARRIA;25;2.234,95;469,90;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
2016;067;ERRENTERIA;2001;BARRIO ALABERGA/ALABERGA AUZOA;ARINA;135;2.149,03;2.258,97;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
2016;067;ERRENTERIA;2001;BARRIO ALABERGA/ALABERGA AUZOA;OSO LARRIA;5;829,95;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
2016;067;ERRENTERIA;2002;JUAN OLAZABAL KALEA;LARRIA;27;2.690,79;1.518,62;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
2016;067;ERRENTERIA;2002;JUAN OLAZABAL KALEA;ARINA;110;1.644,45;1.974,05;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
2016;067;ERRENTERIA;2002;JUAN OLAZABAL KALEA;OSO LARRIA;2;0,00;1.809,90;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
2016;067;ERRENTERIA;2201;DONOSTIA KALEA/CALLE SAN SEBAS;LARRIA;19;1.100,00;959,80;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
